Chapitre;Code_Position_10_chiffres;Designation;Droit_Importation_DI;Taxe_Parafiscale_Importation_TPI;Taxe_Valeur_Ajoutee_TVA;Taxe_Interieure_Consommation_TIC;Formalites_particulieres;Source
01;0101210000;- Reproducteurs de race pure (a.);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import. | CERTIFICAT DE CONFORMITE AUX NORMES ZOOTECHNIQUES;douane.gov.ma/adil
01;0101291000;- - destinés à la boucherie;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0101292000;- - de course, âgés de moins de six (6) ans, dans la limite d'un contingent annuel de vingt (20) têtes, aux conditions fixées par un arrêté du ministre chargé des finances après avis du ministre de l'agriculture.– – – autres:;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0101299000;- - - autres;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0101300010;- - ânes, des espèces domestiques, reproducteurs de race pure (a.);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0101300090;- - autres;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0101900000;Autres;10 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102210000;- Reproducteurs de race pure (a.);2.5 %;0.25 %;;;Documents et Normes à l'Import. | CERTIFICAT DE CONFORMITE AUX NORMES ZOOTECHNIQUES;douane.gov.ma/adil
01;0102291000;- - veaux– – – vaches:;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102292100;- - - destinées à l'abattage immédiat et dont la viande est destinée à la transformation;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102292200;- - - vaches laitières;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102292900;- - - autres– – – taureaux, à l'exclusion des taurillons :;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102293100;- - - taureaux de combat importés pour les besoins d'une manifestation tauromachique déterminée et conduits directement au toril;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102293900;- - - autres– – – – autres :;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102294100;- - - - boeufs, à l'exclusion des bouvillons et génisses;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102294900;- - - - autres;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102299000;- - autres– Buffles:;200 %;0.25 %;;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102310010;- - des espèces domestiques (a.);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import. | CERTIFICAT DE CONFORMITE AUX NORMES ZOOTECHNIQUES;douane.gov.ma/adil
01;0102310090;- - autres (a.);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102390010;- - des espèces domestiques  (a.);200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102390090;- - autres  (a.);200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102900010;- - reproducteurs de race pure (أ);2.5 %;0.25 %;0 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0102900090;- - autres;200 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
01;0103100010;- - des espèces domestiques  (a);49 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
