Code;Niveau;Chapitre;Description_FR;Description_EN;Categorie;Unite;DD_Taux_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites_Administratives;Total_Import_Taxes_%
110100;HS6;11;Farines de blé ou de méteil;Wheat or meslin flour;flour;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1101001000;HS10;11;Farines de blé ou de méteil - Type 1;Wheat or meslin flour - Type 1;;;10.0;;;;;
1101002000;HS10;11;Farines de blé ou de méteil - Type 2;Wheat or meslin flour - Type 2;;;10.0;;;;;
1101009000;HS10;11;Farines de blé ou de méteil - Autre;Wheat or meslin flour - Other;;;10.0;;;;;
110220;HS6;11;Farine de maïs;Maize flour;flour;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1102201000;HS10;11;Farine de maïs - Type 1;Maize flour - Type 1;;;10.0;;;;;
1102202000;HS10;11;Farine de maïs - Type 2;Maize flour - Type 2;;;10.0;;;;;
1102209000;HS10;11;Farine de maïs - Autre;Maize flour - Other;;;10.0;;;;;
110290;HS6;11;Autres;Cereal flours;milling;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1102901000;HS10;11;Autres - Type 1;Cereal flours - Type 1;;;10.0;;;;;
1102902000;HS10;11;Autres - Type 2;Cereal flours - Type 2;;;10.0;;;;;
1102909000;HS10;11;Autres - Autre;Cereal flours - Other;;;10.0;;;;;
110311;HS6;11;De froment (blé);Cereal groats and meal;milling;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1103111000;HS10;11;De froment (blé) - Type 1;Cereal groats and meal - Type 1;;;10.0;;;;;
1103112000;HS10;11;De froment (blé) - Type 2;Cereal groats and meal - Type 2;;;10.0;;;;;
1103119000;HS10;11;De froment (blé) - Autre;Cereal groats and meal - Other;;;10.0;;;;;
110313;HS6;11;De maïs;Cereal groats and meal;milling;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1103131000;HS10;11;De maïs - Type 1;Cereal groats and meal - Type 1;;;10.0;;;;;
1103132000;HS10;11;De maïs - Type 2;Cereal groats and meal - Type 2;;;10.0;;;;;
1103139000;HS10;11;De maïs - Autre;Cereal groats and meal - Other;;;10.0;;;;;
110319;HS6;11;D'autres céréales;Cereal groats and meal;milling;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1103191000;HS10;11;D'autres céréales - Type 1;Cereal groats and meal - Type 1;;;10.0;;;;;
1103192000;HS10;11;D'autres céréales - Type 2;Cereal groats and meal - Type 2;;;10.0;;;;;
1103199000;HS10;11;D'autres céréales - Autre;Cereal groats and meal - Other;;;10.0;;;;;
110320;HS6;11;Agglomérés sous forme de pellets;Cereal pellets;milling;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1103201000;HS10;11;Agglomérés sous forme de pellets - Type 1;Cereal pellets - Type 1;;;10.0;;;;;
1103202000;HS10;11;Agglomérés sous forme de pellets - Type 2;Cereal pellets - Type 2;;;10.0;;;;;
1103209000;HS10;11;Agglomérés sous forme de pellets - Autre;Cereal pellets - Other;;;10.0;;;;;
110412;HS6;11;D'avoine;Cereal grains;milling;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1104121000;HS10;11;D'avoine - Type 1;Cereal grains - Type 1;;;10.0;;;;;
1104122000;HS10;11;D'avoine - Type 2;Cereal grains - Type 2;;;10.0;;;;;
1104129000;HS10;11;D'avoine - Autre;Cereal grains - Other;;;10.0;;;;;
110419;HS6;11;D'autres céréales;Cereal grains;milling;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1104191000;HS10;11;D'autres céréales - Type 1;Cereal grains - Type 1;;;10.0;;;;;
1104192000;HS10;11;D'autres céréales - Type 2;Cereal grains - Type 2;;;10.0;;;;;
1104199000;HS10;11;D'autres céréales - Autre;Cereal grains - Other;;;10.0;;;;;
110422;HS6;11;D'avoine;Cereal grains;milling;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1104221000;HS10;11;D'avoine - Type 1;Cereal grains - Type 1;;;10.0;;;;;
1104222000;HS10;11;D'avoine - Type 2;Cereal grains - Type 2;;;10.0;;;;;
1104229000;HS10;11;D'avoine - Autre;Cereal grains - Other;;;10.0;;;;;
110423;HS6;11;De maïs;Cereal grains;milling;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1104231000;HS10;11;De maïs - Type 1;Cereal grains - Type 1;;;10.0;;;;;
1104232000;HS10;11;De maïs - Type 2;Cereal grains - Type 2;;;10.0;;;;;
1104239000;HS10;11;De maïs - Autre;Cereal grains - Other;;;10.0;;;;;
110429;HS6;11;D'autres céréales;Cereal grains;milling;KG;10.0;14.0;0.0;D.D:10.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;26.0
1104291000;HS10;11;D'autres céréales - Type 1;Cereal grains - Type 1;;;10.0;;;;;
1104292000;HS10;11;D'autres céréales - Type 2;Cereal grains - Type 2;;;10.0;;;;;
1104299000;HS10;11;D'autres céréales - Autre;Cereal grains - Other;;;10.0;;;;;
