Code;Niveau;Description_FR;Description_EN;DD_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites;Total_%
CHAPITRE 61;---;Vêtements en bonneterie;;;;;;;
610110;HS6;Manteaux en bonneterie pour hommes;Men's knitted overcoats;30.0;14.0;0.0;D.D:30.0% | IE:2.0% | T.V.A:14.0%;910 Déclaration d'Importation du Produit;46.0
6101101000;HS10;Manteaux en bonneterie pour hommes - Type 1;Men's knitted overcoats - Type 1;30.0;;;;;
6101102000;HS10;Manteaux en bonneterie pour hommes - Type 2;Men's knitted overcoats - Type 2;30.0;;;;;
6101109000;HS10;Manteaux en bonneterie pour hommes - Autre;Men's knitted overcoats - Other;30.0;;;;;
610120;HS6;Manteaux en bonneterie pour femmes;Women's knitted overcoats;30.0;14.0;0.0;=;=;46.0
6101201000;HS10;Manteaux en bonneterie pour femmes - Type 1;Women's knitted overcoats - Type 1;30.0;;;;;
6101202000;HS10;Manteaux en bonneterie pour femmes - Type 2;Women's knitted overcoats - Type 2;30.0;;;;;
6101209000;HS10;Manteaux en bonneterie pour femmes - Autre;Women's knitted overcoats - Other;30.0;;;;;
610130;HS6;De fibres synthétiques ou artificielles;Coats;30.0;14.0;0.0;=;=;46.0
6101301000;HS10;De fibres synthétiques ou artificielles - Type 1;Coats - Type 1;30.0;;;;;
6101302000;HS10;De fibres synthétiques ou artificielles - Type 2;Coats - Type 2;30.0;;;;;
6101309000;HS10;De fibres synthétiques ou artificielles - Autre;Coats - Other;30.0;;;;;
610190;HS6;D'autres matières textiles;Coats;30.0;14.0;0.0;=;=;46.0
6101901000;HS10;D'autres matières textiles - Type 1;Coats - Type 1;30.0;;;;;
6101902000;HS10;D'autres matières textiles - Type 2;Coats - Type 2;30.0;;;;;
6101909000;HS10;D'autres matières textiles - Autre;Coats - Other;30.0;;;;;
610210;HS6;Manteaux en bonneterie pour femmes de laine;Women's wool knitted overcoats;30.0;14.0;0.0;=;=;46.0
6102101000;HS10;Manteaux en bonneterie pour femmes de laine - Type 1;Women's wool knitted overcoats - Type 1;30.0;;;;;
6102102000;HS10;Manteaux en bonneterie pour femmes de laine - Type 2;Women's wool knitted overcoats - Type 2;30.0;;;;;
6102109000;HS10;Manteaux en bonneterie pour femmes de laine - Autre;Women's wool knitted overcoats - Other;30.0;;;;;
610220;HS6;De coton;Coats;30.0;14.0;0.0;=;=;46.0
6102201000;HS10;De coton - Type 1;Coats - Type 1;30.0;;;;;
6102202000;HS10;De coton - Type 2;Coats - Type 2;30.0;;;;;
6102209000;HS10;De coton - Autre;Coats - Other;30.0;;;;;
610230;HS6;De fibres synthétiques ou artificielles;Coats;30.0;14.0;0.0;=;=;46.0
6102301000;HS10;De fibres synthétiques ou artificielles - Type 1;Coats - Type 1;30.0;;;;;
6102302000;HS10;De fibres synthétiques ou artificielles - Type 2;Coats - Type 2;30.0;;;;;
6102309000;HS10;De fibres synthétiques ou artificielles - Autre;Coats - Other;30.0;;;;;
610290;HS6;D'autres matières textiles;Coats;30.0;14.0;0.0;=;=;46.0
6102901000;HS10;D'autres matières textiles - Type 1;Coats - Type 1;30.0;;;;;
6102902000;HS10;D'autres matières textiles - Type 2;Coats - Type 2;30.0;;;;;
6102909000;HS10;D'autres matières textiles - Autre;Coats - Other;30.0;;;;;
610310;HS6;Costumes et vestons en bonneterie pour hommes;Men's knitted suits and jackets;30.0;14.0;0.0;=;=;46.0
6103101000;HS10;Costumes et vestons en bonneterie pour hommes - Type 1;Men's knitted suits and jackets - Type 1;30.0;;;;;
6103102000;HS10;Costumes et vestons en bonneterie pour hommes - Type 2;Men's knitted suits and jackets - Type 2;30.0;;;;;
6103109000;HS10;Costumes et vestons en bonneterie pour hommes - Autre;Men's knitted suits and jackets - Other;30.0;;;;;
610322;HS6;De coton;Ensembles;30.0;14.0;0.0;=;=;46.0
6103221000;HS10;De coton - Type 1;Ensembles - Type 1;30.0;;;;;
6103222000;HS10;De coton - Type 2;Ensembles - Type 2;30.0;;;;;
6103229000;HS10;De coton - Autre;Ensembles - Other;30.0;;;;;
610323;HS6;De fibres synthétiques;Ensembles;30.0;14.0;0.0;=;=;46.0
6103231000;HS10;De fibres synthétiques - Type 1;Ensembles - Type 1;30.0;;;;;
6103232000;HS10;De fibres synthétiques - Type 2;Ensembles - Type 2;30.0;;;;;
6103239000;HS10;De fibres synthétiques - Autre;Ensembles - Other;30.0;;;;;
610329;HS6;D'autres matières textiles;Ensembles;30.0;14.0;0.0;=;=;46.0
6103291000;HS10;D'autres matières textiles - Type 1;Ensembles - Type 1;30.0;;;;;
6103292000;HS10;D'autres matières textiles - Type 2;Ensembles - Type 2;30.0;;;;;
6103299000;HS10;D'autres matières textiles - Autre;Ensembles - Other;30.0;;;;;
610331;HS6;De laine ou de poils fins;Jackets and blazers;30.0;14.0;0.0;=;=;46.0
