Code_HS6;Chapitre;Description_FR;Description_EN;Categorie;Unite;DD_Taux_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites_Administratives;Total_Import_Taxes_%;Nb_Sous_Positions
010110;01;Chevaux reproducteurs de race pure;Pure-bred breeding horses;livestock;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
010121;01;Chevaux vivants (non reproducteurs);Live horses (non-breeding);livestock;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
010129;01;Autres;Horses;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010130;01;Ânes;Asses;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010190;01;Autres;Mules and hinnies;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010221;01;Bovins reproducteurs de race pure;Pure-bred breeding bovine animals;livestock;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;2
010229;01;Autres;Cattle;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010231;01;Reproducteurs de race pure;Buffalo;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010239;01;Autres;Buffalo;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
010290;01;Autres bovins vivants;Other live bovine animals;live_animals;KG;20.0;18.0;0.0;D.D:20.0% | RS:1.0% | PCS:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;40.0;3
