Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;TCI_%;CAC_%;T.V.A_%;Formalites;Total_%
SECTION I;SECTION;Animaux vivants et produits du règne animal;Live animals and animal products;;;;;;;
CHAPITRE 01;CHAPITRE;Animaux vivants;;;;;;;;
0101;RANGEE 01;"Horses, asses, mules and hinnies; live";;;;;;;;
010110;HS6;Chevaux reproducteurs de race pure;Pure-bred breeding horses;;;;;;;
0101101000;HS10;Chevaux reproducteurs de race pure - Reproduction;Pure-bred breeding horses - Breeding;Élevage;20.0;1.0;10.0;19.25;910 Déclaration d'Importation du Produit;50.25
0101109000;HS10;Chevaux reproducteurs de race pure - Boucherie;Pure-bred breeding horses - Slaughter;Élevage;20.0;1.0;10.0;19.25;=;50.25
010121;HS6;Chevaux vivants (non reproducteurs);Live horses (non-breeding);;;;;;;
0101210010;HS10;Chevaux vivants (non reproducteurs) - Usage spécifique;Live horses (non-breeding) - Specific use;Élevage;20.0;1.0;10.0;19.25;=;50.25
0101210090;HS10;Chevaux vivants (non reproducteurs) - Autre usage;Live horses (non-breeding) - Other use;Élevage;20.0;1.0;10.0;19.25;=;50.25
010129;HS6;Autres;Horses;;;;;;;
0101291000;HS10;Autres - Type 1;Horses - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0101292000;HS10;Autres - Type 2;Horses - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0101299000;HS10;Autres - Autre;Horses - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010130;HS6;Ânes;Asses;;;;;;;
0101301000;HS10;Ânes - Type 1;Asses - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0101302000;HS10;Ânes - Type 2;Asses - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0101309000;HS10;Ânes - Autre;Asses - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010190;HS6;Autres;Mules and hinnies;;;;;;;
0101901000;HS10;Autres - Type 1;Mules and hinnies - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0101902000;HS10;Autres - Type 2;Mules and hinnies - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0101909000;HS10;Autres - Autre;Mules and hinnies - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
0102;RANGEE 02;"Bovine animals; live";;;;;;;;
010221;HS6;Bovins reproducteurs de race pure;Pure-bred breeding bovine animals;;;;;;;
0102211000;HS10;Bovins reproducteurs de race pure - Reproduction;Pure-bred breeding bovine animals - Breeding;Élevage;20.0;1.0;10.0;19.25;=;50.25
0102219000;HS10;Bovins reproducteurs de race pure - Boucherie;Pure-bred breeding bovine animals - Slaughter;Élevage;20.0;1.0;10.0;19.25;=;50.25
010229;HS6;Autres;Cattle;;;;;;;
0102291000;HS10;Autres - Type 1;Cattle - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0102292000;HS10;Autres - Type 2;Cattle - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0102299000;HS10;Autres - Autre;Cattle - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010231;HS6;Reproducteurs de race pure;Buffalo;;;;;;;
0102311000;HS10;Reproducteurs de race pure - Type 1;Buffalo - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0102312000;HS10;Reproducteurs de race pure - Type 2;Buffalo - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0102319000;HS10;Reproducteurs de race pure - Autre;Buffalo - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010239;HS6;Autres;Buffalo;;;;;;;
0102391000;HS10;Autres - Type 1;Buffalo - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0102392000;HS10;Autres - Type 2;Buffalo - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0102399000;HS10;Autres - Autre;Buffalo - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010290;HS6;Autres bovins vivants;Other live bovine animals;;;;;;;
0102901000;HS10;Autres bovins vivants - Type 1;Other live bovine animals - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0102902000;HS10;Autres bovins vivants - Type 2;Other live bovine animals - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0102909000;HS10;Autres bovins vivants - Autre;Other live bovine animals - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
0103;RANGEE 03;"Swine; live";;;;;;;;
010310;HS6;Porcins reproducteurs de race pure;Pure-bred breeding swine;;;;;;;
0103101000;HS10;Porcins reproducteurs de race pure - Reproduction;Pure-bred breeding swine - Breeding;Élevage;20.0;1.0;10.0;19.25;=;50.25
0103109000;HS10;Porcins reproducteurs de race pure - Boucherie;Pure-bred breeding swine - Slaughter;Élevage;20.0;1.0;10.0;19.25;=;50.25
010391;HS6;Autres porcins < 50 kg;Other swine < 50 kg;;;;;;;
010391;HS6-DIRECT;Autres porcins < 50 kg;Other swine < 50 kg;Élevage;20.0;1.0;10.0;19.25;=;50.25
010392;HS6;D'un poids égal ou supérieur à 50 kg;Swine;;;;;;;
0103921000;HS10;D'un poids égal ou supérieur à 50 kg - Type 1;Swine - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0103922000;HS10;D'un poids égal ou supérieur à 50 kg - Type 2;Swine - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0103929000;HS10;D'un poids égal ou supérieur à 50 kg - Autre;Swine - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
0104;RANGEE 04;"Sheep and goats; live";;;;;;;;
010410;HS6;Ovins vivants;Live sheep;;;;;;;
0104101000;HS10;Ovins vivants - Type 1;Live sheep - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0104102000;HS10;Ovins vivants - Type 2;Live sheep - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0104109000;HS10;Ovins vivants - Autre;Live sheep - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010420;HS6;Caprins vivants;Live goats;;;;;;;
0104201000;HS10;Caprins vivants - Type 1;Live goats - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0104202000;HS10;Caprins vivants - Type 2;Live goats - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0104209000;HS10;Caprins vivants - Autre;Live goats - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105;RANGEE 05;"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";;;;;;;;
010511;HS6;Volailles vivantes - coqs et poules ≤185g;Live poultry - fowls ≤185g;;;;;;;
0105110010;HS10;Volailles vivantes - coqs et poules ≤185g - Usage spécifique;Live poultry - fowls ≤185g - Specific use;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105110090;HS10;Volailles vivantes - coqs et poules ≤185g - Autre usage;Live poultry - fowls ≤185g - Other use;Élevage;20.0;1.0;10.0;19.25;=;50.25
010512;HS6;Dindes vivantes ≤185g;Live turkeys ≤185g;;;;;;;
010512;HS6-DIRECT;Dindes vivantes ≤185g;Live turkeys ≤185g;Élevage;20.0;1.0;10.0;19.25;=;50.25
010513;HS6;Canards;Poultry;;;;;;;
0105131000;HS10;Canards - Type 1;Poultry - Type 1;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105132000;HS10;Canards - Type 2;Poultry - Type 2;Élevage;20.0;1.0;10.0;19.25;=;50.25
0105139000;HS10;Canards - Autre;Poultry - Other;Élevage;20.0;1.0;10.0;19.25;=;50.25
010514;HS6;Oies;Poultry;;;;;;;
