Code;Niveau;Chapitre;Description_FR;Description_EN;Categorie;Unite;DD_Taux_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites_Administratives;Total_Import_Taxes_%
710110;HS6;71;Perles fines;Pearls;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7101101000;HS10;71;Perles fines - Type 1;Pearls - Type 1;;;30.0;;;;;
7101102000;HS10;71;Perles fines - Type 2;Pearls - Type 2;;;30.0;;;;;
7101109000;HS10;71;Perles fines - Autre;Pearls - Other;;;30.0;;;;;
710121;HS6;71;Brutes;Pearls;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7101211000;HS10;71;Brutes - Type 1;Pearls - Type 1;;;30.0;;;;;
7101212000;HS10;71;Brutes - Type 2;Pearls - Type 2;;;30.0;;;;;
7101219000;HS10;71;Brutes - Autre;Pearls - Other;;;30.0;;;;;
710122;HS6;71;Travaillées;Pearls;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7101221000;HS10;71;Travaillées - Type 1;Pearls - Type 1;;;30.0;;;;;
7101222000;HS10;71;Travaillées - Type 2;Pearls - Type 2;;;30.0;;;;;
7101229000;HS10;71;Travaillées - Autre;Pearls - Other;;;30.0;;;;;
710210;HS6;71;Non triés;Diamonds;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7102101000;HS10;71;Non triés - Type 1;Diamonds - Type 1;;;30.0;;;;;
7102102000;HS10;71;Non triés - Type 2;Diamonds - Type 2;;;30.0;;;;;
7102109000;HS10;71;Non triés - Autre;Diamonds - Other;;;30.0;;;;;
710221;HS6;71;Bruts ou simplement sciés;Diamonds;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7102211000;HS10;71;Bruts ou simplement sciés - Type 1;Diamonds - Type 1;;;30.0;;;;;
7102212000;HS10;71;Bruts ou simplement sciés - Type 2;Diamonds - Type 2;;;30.0;;;;;
7102219000;HS10;71;Bruts ou simplement sciés - Autre;Diamonds - Other;;;30.0;;;;;
710229;HS6;71;Autres;Diamonds;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7102291000;HS10;71;Autres - Type 1;Diamonds - Type 1;;;30.0;;;;;
7102292000;HS10;71;Autres - Type 2;Diamonds - Type 2;;;30.0;;;;;
7102299000;HS10;71;Autres - Autre;Diamonds - Other;;;30.0;;;;;
710231;HS6;71;Bruts ou simplement sciés;Diamonds;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7102311000;HS10;71;Bruts ou simplement sciés - Type 1;Diamonds - Type 1;;;30.0;;;;;
7102312000;HS10;71;Bruts ou simplement sciés - Type 2;Diamonds - Type 2;;;30.0;;;;;
7102319000;HS10;71;Bruts ou simplement sciés - Autre;Diamonds - Other;;;30.0;;;;;
710239;HS6;71;Autres;Diamonds;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7102391000;HS10;71;Autres - Type 1;Diamonds - Type 1;;;30.0;;;;;
7102392000;HS10;71;Autres - Type 2;Diamonds - Type 2;;;30.0;;;;;
7102399000;HS10;71;Autres - Autre;Diamonds - Other;;;30.0;;;;;
710310;HS6;71;Brutes ou simplement sciés ou dégrossies;Stones;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7103101000;HS10;71;Brutes ou simplement sciés ou dégrossies - Type 1;Stones - Type 1;;;30.0;;;;;
7103102000;HS10;71;Brutes ou simplement sciés ou dégrossies - Type 2;Stones - Type 2;;;30.0;;;;;
7103109000;HS10;71;Brutes ou simplement sciés ou dégrossies - Autre;Stones - Other;;;30.0;;;;;
710391;HS6;71;Rubis;Stones;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7103911000;HS10;71;Rubis - Type 1;Stones - Type 1;;;30.0;;;;;
7103912000;HS10;71;Rubis - Type 2;Stones - Type 2;;;30.0;;;;;
7103919000;HS10;71;Rubis - Autre;Stones - Other;;;30.0;;;;;
710399;HS6;71;Autres;Stones;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7103991000;HS10;71;Autres - Type 1;Stones - Type 1;;;30.0;;;;;
7103992000;HS10;71;Autres - Type 2;Stones - Type 2;;;30.0;;;;;
7103999000;HS10;71;Autres - Autre;Stones - Other;;;30.0;;;;;
710410;HS6;71;Quartz piézo-électrique;Stones;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7104101000;HS10;71;Quartz piézo-électrique - Type 1;Stones - Type 1;;;30.0;;;;;
7104102000;HS10;71;Quartz piézo-électrique - Type 2;Stones - Type 2;;;30.0;;;;;
7104109000;HS10;71;Quartz piézo-électrique - Autre;Stones - Other;;;30.0;;;;;
710421;HS6;71;Diamants;Stones;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7104211000;HS10;71;Diamants - Type 1;Stones - Type 1;;;30.0;;;;;
7104212000;HS10;71;Diamants - Type 2;Stones - Type 2;;;30.0;;;;;
7104219000;HS10;71;Diamants - Autre;Stones - Other;;;30.0;;;;;
710429;HS6;71;Autres;Stones;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7104291000;HS10;71;Autres - Type 1;Stones - Type 1;;;30.0;;;;;
7104292000;HS10;71;Autres - Type 2;Stones - Type 2;;;30.0;;;;;
7104299000;HS10;71;Autres - Autre;Stones - Other;;;30.0;;;;;
710491;HS6;71;Diamants;Stones;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7104911000;HS10;71;Diamants - Type 1;Stones - Type 1;;;30.0;;;;;
7104912000;HS10;71;Diamants - Type 2;Stones - Type 2;;;30.0;;;;;
7104919000;HS10;71;Diamants - Autre;Stones - Other;;;30.0;;;;;
710499;HS6;71;Autres;Stones;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7104991000;HS10;71;Autres - Type 1;Stones - Type 1;;;30.0;;;;;
7104992000;HS10;71;Autres - Type 2;Stones - Type 2;;;30.0;;;;;
7104999000;HS10;71;Autres - Autre;Stones - Other;;;30.0;;;;;
710510;HS6;71;De diamants;Stones;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7105101000;HS10;71;De diamants - Type 1;Stones - Type 1;;;30.0;;;;;
7105102000;HS10;71;De diamants - Type 2;Stones - Type 2;;;30.0;;;;;
7105109000;HS10;71;De diamants - Autre;Stones - Other;;;30.0;;;;;
710590;HS6;71;Autres;Stones;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7105901000;HS10;71;Autres - Type 1;Stones - Type 1;;;30.0;;;;;
7105902000;HS10;71;Autres - Type 2;Stones - Type 2;;;30.0;;;;;
7105909000;HS10;71;Autres - Autre;Stones - Other;;;30.0;;;;;
710610;HS6;71;Poudres;Metals;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7106101000;HS10;71;Poudres - Type 1;Metals - Type 1;;;30.0;;;;;
7106102000;HS10;71;Poudres - Type 2;Metals - Type 2;;;30.0;;;;;
7106109000;HS10;71;Poudres - Autre;Metals - Other;;;30.0;;;;;
710691;HS6;71;Sous formes brutes;Metals;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7106911000;HS10;71;Sous formes brutes - Type 1;Metals - Type 1;;;30.0;;;;;
7106912000;HS10;71;Sous formes brutes - Type 2;Metals - Type 2;;;30.0;;;;;
7106919000;HS10;71;Sous formes brutes - Autre;Metals - Other;;;30.0;;;;;
710692;HS6;71;Sous formes mi-ouvrées;Metals;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7106921000;HS10;71;Sous formes mi-ouvrées - Type 1;Metals - Type 1;;;30.0;;;;;
7106922000;HS10;71;Sous formes mi-ouvrées - Type 2;Metals - Type 2;;;30.0;;;;;
7106929000;HS10;71;Sous formes mi-ouvrées - Autre;Metals - Other;;;30.0;;;;;
710700;HS6;71;Plaqué ou doublé d'argent sur métaux communs;Base metals clad with silver;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7107001000;HS10;71;Plaqué ou doublé d'argent sur métaux communs - Type 1;Base metals clad with silver - Type 1;;;30.0;;;;;
7107002000;HS10;71;Plaqué ou doublé d'argent sur métaux communs - Type 2;Base metals clad with silver - Type 2;;;30.0;;;;;
7107009000;HS10;71;Plaqué ou doublé d'argent sur métaux communs - Autre;Base metals clad with silver - Other;;;30.0;;;;;
710811;HS6;71;Poudres;Metals;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7108111000;HS10;71;Poudres - Type 1;Metals - Type 1;;;30.0;;;;;
7108112000;HS10;71;Poudres - Type 2;Metals - Type 2;;;30.0;;;;;
7108119000;HS10;71;Poudres - Autre;Metals - Other;;;30.0;;;;;
710812;HS6;71;Sous autres formes brutes;Metals;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7108121000;HS10;71;Sous autres formes brutes - Type 1;Metals - Type 1;;;30.0;;;;;
7108122000;HS10;71;Sous autres formes brutes - Type 2;Metals - Type 2;;;30.0;;;;;
7108129000;HS10;71;Sous autres formes brutes - Autre;Metals - Other;;;30.0;;;;;
710813;HS6;71;Sous autres formes mi-ouvrées;Metals;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7108131000;HS10;71;Sous autres formes mi-ouvrées - Type 1;Metals - Type 1;;;30.0;;;;;
7108132000;HS10;71;Sous autres formes mi-ouvrées - Type 2;Metals - Type 2;;;30.0;;;;;
7108139000;HS10;71;Sous autres formes mi-ouvrées - Autre;Metals - Other;;;30.0;;;;;
710820;HS6;71;A usage monétaire;Gold;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7108201000;HS10;71;A usage monétaire - Type 1;Gold - Type 1;;;30.0;;;;;
7108202000;HS10;71;A usage monétaire - Type 2;Gold - Type 2;;;30.0;;;;;
7108209000;HS10;71;A usage monétaire - Autre;Gold - Other;;;30.0;;;;;
710900;HS6;71;Plaqué ou doublé d'or sur métaux communs ou sur argent;Base metals or silver;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7109001000;HS10;71;Plaqué ou doublé d'or sur métaux communs ou sur argent - Type 1;Base metals or silver - Type 1;;;30.0;;;;;
7109002000;HS10;71;Plaqué ou doublé d'or sur métaux communs ou sur argent - Type 2;Base metals or silver - Type 2;;;30.0;;;;;
7109009000;HS10;71;Plaqué ou doublé d'or sur métaux communs ou sur argent - Autre;Base metals or silver - Other;;;30.0;;;;;
711011;HS6;71;Sous forme brutes ou en poudres;Metals;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7110111000;HS10;71;Sous forme brutes ou en poudres - Type 1;Metals - Type 1;;;30.0;;;;;
7110112000;HS10;71;Sous forme brutes ou en poudres - Type 2;Metals - Type 2;;;30.0;;;;;
7110119000;HS10;71;Sous forme brutes ou en poudres - Autre;Metals - Other;;;30.0;;;;;
711019;HS6;71;Autres;Metals;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7110191000;HS10;71;Autres - Type 1;Metals - Type 1;;;30.0;;;;;
7110192000;HS10;71;Autres - Type 2;Metals - Type 2;;;30.0;;;;;
7110199000;HS10;71;Autres - Autre;Metals - Other;;;30.0;;;;;
711021;HS6;71;Sous forme brutes ou en poudres;Metals;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7110211000;HS10;71;Sous forme brutes ou en poudres - Type 1;Metals - Type 1;;;30.0;;;;;
7110212000;HS10;71;Sous forme brutes ou en poudres - Type 2;Metals - Type 2;;;30.0;;;;;
7110219000;HS10;71;Sous forme brutes ou en poudres - Autre;Metals - Other;;;30.0;;;;;
711029;HS6;71;Autres;Metals;jewelry;KG;30.0;19.25;0.0;D.D:30.0% | TCI:1.0% | CAC:10.0% | T.V.A:19.25%;910 Déclaration d'Importation du Produit;60.25
7110291000;HS10;71;Autres - Type 1;Metals - Type 1;;;30.0;;;;;
7110292000;HS10;71;Autres - Type 2;Metals - Type 2;;;30.0;;;;;
7110299000;HS10;71;Autres - Autre;Metals - Other;;;30.0;;;;;
