Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;T.V.A_%;Formalites;Total_%
SECTION XV;SECTION;Métaux communs et ouvrages en ces métaux;Base metals and articles of base metal;;;;;
CHAPITRE 81;CHAPITRE;Autres métaux communs;;;;;;
8101;RANGEE 01;"Tungsten (wolfram); articles thereof, including waste and scrap";;;;;;
810110;HS6;Poudres;Tungsten (wolfram);;;;;
8101101000;HS10;Poudres - Type 1;Tungsten (wolfram) - Type 1;Métallurgie;10.0;16.0;910 Déclaration d'Importation du Produit;26.0
8101102000;HS10;Poudres - Type 2;Tungsten (wolfram) - Type 2;Métallurgie;10.0;16.0;=;26.0
8101109000;HS10;Poudres - Autre;Tungsten (wolfram) - Other;Métallurgie;10.0;16.0;=;26.0
810194;HS6;Tungstène sous forme brute;Tungsten (wolfram);;;;;
8101941000;HS10;Tungstène sous forme brute - Type 1;Tungsten (wolfram) - Type 1;Métallurgie;10.0;16.0;=;26.0
8101942000;HS10;Tungstène sous forme brute - Type 2;Tungsten (wolfram) - Type 2;Métallurgie;10.0;16.0;=;26.0
8101949000;HS10;Tungstène sous forme brute - Autre;Tungsten (wolfram) - Other;Métallurgie;10.0;16.0;=;26.0
810196;HS6;Fils;Tungsten (wolfram);;;;;
8101961000;HS10;Fils - Type 1;Tungsten (wolfram) - Type 1;Métallurgie;10.0;16.0;=;26.0
8101962000;HS10;Fils - Type 2;Tungsten (wolfram) - Type 2;Métallurgie;10.0;16.0;=;26.0
8101969000;HS10;Fils - Autre;Tungsten (wolfram) - Other;Métallurgie;10.0;16.0;=;26.0
810197;HS6;Déchets et débris;Tungsten (wolfram);;;;;
8101971000;HS10;Déchets et débris - Type 1;Tungsten (wolfram) - Type 1;Métallurgie;10.0;16.0;=;26.0
8101972000;HS10;Déchets et débris - Type 2;Tungsten (wolfram) - Type 2;Métallurgie;10.0;16.0;=;26.0
