Code;Niveau;Chapitre;Description_FR;Description_EN;Categorie;Unite;DD_Taux_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites_Administratives;Total_Import_Taxes_%
910111;HS6;91;A affichage mécanique seulement;Wrist-watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9101111000;HS10;91;A affichage mécanique seulement - Type 1;Wrist-watches - Type 1;;;35.0;;;;;
9101112000;HS10;91;A affichage mécanique seulement - Type 2;Wrist-watches - Type 2;;;35.0;;;;;
9101119000;HS10;91;A affichage mécanique seulement - Autre;Wrist-watches - Other;;;35.0;;;;;
910119;HS6;91;Autres;Wrist-watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9101191000;HS10;91;Autres - Type 1;Wrist-watches - Type 1;;;35.0;;;;;
9101192000;HS10;91;Autres - Type 2;Wrist-watches - Type 2;;;35.0;;;;;
9101199000;HS10;91;Autres - Autre;Wrist-watches - Other;;;35.0;;;;;
910121;HS6;91;A remontage automatique;Wrist-watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9101211000;HS10;91;A remontage automatique - Type 1;Wrist-watches - Type 1;;;35.0;;;;;
9101212000;HS10;91;A remontage automatique - Type 2;Wrist-watches - Type 2;;;35.0;;;;;
9101219000;HS10;91;A remontage automatique - Autre;Wrist-watches - Other;;;35.0;;;;;
910129;HS6;91;Autres;Wrist-watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9101291000;HS10;91;Autres - Type 1;Wrist-watches - Type 1;;;35.0;;;;;
9101292000;HS10;91;Autres - Type 2;Wrist-watches - Type 2;;;35.0;;;;;
9101299000;HS10;91;Autres - Autre;Wrist-watches - Other;;;35.0;;;;;
910191;HS6;91;Fonctionnant électriquement;Pocket-watches and other watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9101911000;HS10;91;Fonctionnant électriquement - Type 1;Pocket-watches and other watches - Type 1;;;35.0;;;;;
9101912000;HS10;91;Fonctionnant électriquement - Type 2;Pocket-watches and other watches - Type 2;;;35.0;;;;;
9101919000;HS10;91;Fonctionnant électriquement - Autre;Pocket-watches and other watches - Other;;;35.0;;;;;
910199;HS6;91;Autres;Pocket-watches and other watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9101991000;HS10;91;Autres - Type 1;Pocket-watches and other watches - Type 1;;;35.0;;;;;
9101992000;HS10;91;Autres - Type 2;Pocket-watches and other watches - Type 2;;;35.0;;;;;
9101999000;HS10;91;Autres - Autre;Pocket-watches and other watches - Other;;;35.0;;;;;
910211;HS6;91;A affichage mécanique seulement;Wrist-watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9102111000;HS10;91;A affichage mécanique seulement - Type 1;Wrist-watches - Type 1;;;35.0;;;;;
9102112000;HS10;91;A affichage mécanique seulement - Type 2;Wrist-watches - Type 2;;;35.0;;;;;
9102119000;HS10;91;A affichage mécanique seulement - Autre;Wrist-watches - Other;;;35.0;;;;;
910212;HS6;91;A affichage optoélectronique seulement;Wrist-watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9102121000;HS10;91;A affichage optoélectronique seulement - Type 1;Wrist-watches - Type 1;;;35.0;;;;;
9102122000;HS10;91;A affichage optoélectronique seulement - Type 2;Wrist-watches - Type 2;;;35.0;;;;;
9102129000;HS10;91;A affichage optoélectronique seulement - Autre;Wrist-watches - Other;;;35.0;;;;;
910219;HS6;91;Autres;Wrist-watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9102191000;HS10;91;Autres - Type 1;Wrist-watches - Type 1;;;35.0;;;;;
9102192000;HS10;91;Autres - Type 2;Wrist-watches - Type 2;;;35.0;;;;;
9102199000;HS10;91;Autres - Autre;Wrist-watches - Other;;;35.0;;;;;
910221;HS6;91;A remontage automatique;Wrist-watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9102211000;HS10;91;A remontage automatique - Type 1;Wrist-watches - Type 1;;;35.0;;;;;
9102212000;HS10;91;A remontage automatique - Type 2;Wrist-watches - Type 2;;;35.0;;;;;
9102219000;HS10;91;A remontage automatique - Autre;Wrist-watches - Other;;;35.0;;;;;
910229;HS6;91;Autres;Wrist-watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9102291000;HS10;91;Autres - Type 1;Wrist-watches - Type 1;;;35.0;;;;;
9102292000;HS10;91;Autres - Type 2;Wrist-watches - Type 2;;;35.0;;;;;
9102299000;HS10;91;Autres - Autre;Wrist-watches - Other;;;35.0;;;;;
910291;HS6;91;Fonctionnant électriquement;Pocket watches and other watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9102911000;HS10;91;Fonctionnant électriquement - Type 1;Pocket watches and other watches - Type 1;;;35.0;;;;;
9102912000;HS10;91;Fonctionnant électriquement - Type 2;Pocket watches and other watches - Type 2;;;35.0;;;;;
9102919000;HS10;91;Fonctionnant électriquement - Autre;Pocket watches and other watches - Other;;;35.0;;;;;
910299;HS6;91;Autres;Pocket watches and other watches;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9102991000;HS10;91;Autres - Type 1;Pocket watches and other watches - Type 1;;;35.0;;;;;
9102992000;HS10;91;Autres - Type 2;Pocket watches and other watches - Type 2;;;35.0;;;;;
9102999000;HS10;91;Autres - Autre;Pocket watches and other watches - Other;;;35.0;;;;;
910310;HS6;91;Fonctionnant électriquement :;Clocks;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9103101000;HS10;91;Fonctionnant électriquement : - Type 1;Clocks - Type 1;;;35.0;;;;;
9103102000;HS10;91;Fonctionnant électriquement : - Type 2;Clocks - Type 2;;;35.0;;;;;
9103109000;HS10;91;Fonctionnant électriquement : - Autre;Clocks - Other;;;35.0;;;;;
910390;HS6;91;Autres :;Clocks;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9103901000;HS10;91;Autres : - Type 1;Clocks - Type 1;;;35.0;;;;;
9103902000;HS10;91;Autres : - Type 2;Clocks - Type 2;;;35.0;;;;;
9103909000;HS10;91;Autres : - Autre;Clocks - Other;;;35.0;;;;;
910400;HS6;91;Montres de tableaux de bord et montres similaires;Clocks;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9104001000;HS10;91;Montres de tableaux de bord et montres similaires - Type 1;Clocks - Type 1;;;35.0;;;;;
9104002000;HS10;91;Montres de tableaux de bord et montres similaires - Type 2;Clocks - Type 2;;;35.0;;;;;
9104009000;HS10;91;Montres de tableaux de bord et montres similaires - Autre;Clocks - Other;;;35.0;;;;;
910511;HS6;91;Fonctionnant électriquement :;Clocks;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9105111000;HS10;91;Fonctionnant électriquement : - Type 1;Clocks - Type 1;;;35.0;;;;;
9105112000;HS10;91;Fonctionnant électriquement : - Type 2;Clocks - Type 2;;;35.0;;;;;
9105119000;HS10;91;Fonctionnant électriquement : - Autre;Clocks - Other;;;35.0;;;;;
910519;HS6;91;Autres :;Clocks;clocks;KG;35.0;18.0;0.0;D.D:35.0% | CEDEAO:1.0% | T.V.A:18.0%;910 Déclaration d'Importation du Produit;54.0
9105191000;HS10;91;Autres : - Type 1;Clocks - Type 1;;;35.0;;;;;
9105192000;HS10;91;Autres : - Type 2;Clocks - Type 2;;;35.0;;;;;
9105199000;HS10;91;Autres : - Autre;Clocks - Other;;;35.0;;;;;
