Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;DAPS_%;DD_%;PRCT_%;TCS_%;TVA_%;Formalites;Total_%
SECTION XIV;SECTION;"Perles fines, pierres gemmes, métaux précieux et ouvrages en ces matières; bijouterie de fantaisie";Natural or cultured pearls, precious stones, precious metals and articles thereof;;;;;;;;
CHAPITRE 71;CHAPITRE;Perles, pierres précieuses, métaux précieux;;;;;;;;;
7101;RANGEE 01;"Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport";;;;;;;;;
710110;HS6;Perles fines;Pearls;;;;;;;;
7101101000;HS10;Perles fines - Type 1;Pearls - Type 1;Bijouterie;;35.0;;;17.0;910 Déclaration d'Importation du Produit;52.0
7101102000;HS10;Perles fines - Type 2;Pearls - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7101109000;HS10;Perles fines - Autre;Pearls - Other;Bijouterie;;35.0;;;17.0;=;52.0
710121;HS6;Brutes;Pearls;;;;;;;;
7101211000;HS10;Brutes - Type 1;Pearls - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7101212000;HS10;Brutes - Type 2;Pearls - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7101219000;HS10;Brutes - Autre;Pearls - Other;Bijouterie;;35.0;;;17.0;=;52.0
710122;HS6;Travaillées;Pearls;;;;;;;;
7101221000;HS10;Travaillées - Type 1;Pearls - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7101222000;HS10;Travaillées - Type 2;Pearls - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7101229000;HS10;Travaillées - Autre;Pearls - Other;Bijouterie;;35.0;;;17.0;=;52.0
7102;RANGEE 02;Diamonds, whether or not worked, but not mounted or set;;;;;;;;;
710210;HS6;Non triés;Diamonds;;;;;;;;
7102101000;HS10;Non triés - Type 1;Diamonds - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7102102000;HS10;Non triés - Type 2;Diamonds - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7102109000;HS10;Non triés - Autre;Diamonds - Other;Bijouterie;;35.0;;;17.0;=;52.0
710221;HS6;Bruts ou simplement sciés;Diamonds;;;;;;;;
7102211000;HS10;Bruts ou simplement sciés - Type 1;Diamonds - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7102212000;HS10;Bruts ou simplement sciés - Type 2;Diamonds - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7102219000;HS10;Bruts ou simplement sciés - Autre;Diamonds - Other;Bijouterie;;35.0;;;17.0;=;52.0
710229;HS6;Autres;Diamonds;;;;;;;;
7102291000;HS10;Autres - Type 1;Diamonds - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7102292000;HS10;Autres - Type 2;Diamonds - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7102299000;HS10;Autres - Autre;Diamonds - Other;Bijouterie;;35.0;;;17.0;=;52.0
710231;HS6;Bruts ou simplement sciés;Diamonds;;;;;;;;
7102311000;HS10;Bruts ou simplement sciés - Type 1;Diamonds - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7102312000;HS10;Bruts ou simplement sciés - Type 2;Diamonds - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7102319000;HS10;Bruts ou simplement sciés - Autre;Diamonds - Other;Bijouterie;;35.0;;;17.0;=;52.0
710239;HS6;Autres;Diamonds;;;;;;;;
7102391000;HS10;Autres - Type 1;Diamonds - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7102392000;HS10;Autres - Type 2;Diamonds - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7102399000;HS10;Autres - Autre;Diamonds - Other;Bijouterie;;35.0;;;17.0;=;52.0
7103;RANGEE 03;"Precious (excluding diamond) and semi-precious stone; worked, graded, not strung, mounted, set; ungraded precious (excluding diamond) and semi-precious stone, temporarily strung for convenience of transport";;;;;;;;;
710310;HS6;Brutes ou simplement sciés ou dégrossies;Stones;;;;;;;;
7103101000;HS10;Brutes ou simplement sciés ou dégrossies - Type 1;Stones - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7103102000;HS10;Brutes ou simplement sciés ou dégrossies - Type 2;Stones - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7103109000;HS10;Brutes ou simplement sciés ou dégrossies - Autre;Stones - Other;Bijouterie;;35.0;;;17.0;=;52.0
710391;HS6;Rubis;Stones;;;;;;;;
7103911000;HS10;Rubis - Type 1;Stones - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7103912000;HS10;Rubis - Type 2;Stones - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7103919000;HS10;Rubis - Autre;Stones - Other;Bijouterie;;35.0;;;17.0;=;52.0
710399;HS6;Autres;Stones;;;;;;;;
7103991000;HS10;Autres - Type 1;Stones - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7103992000;HS10;Autres - Type 2;Stones - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
7103999000;HS10;Autres - Autre;Stones - Other;Bijouterie;;35.0;;;17.0;=;52.0
7104;RANGEE 04;"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport";;;;;;;;;
710410;HS6;Quartz piézo-électrique;Stones;;;;;;;;
7104101000;HS10;Quartz piézo-électrique - Type 1;Stones - Type 1;Bijouterie;;35.0;;;17.0;=;52.0
7104102000;HS10;Quartz piézo-électrique - Type 2;Stones - Type 2;Bijouterie;;35.0;;;17.0;=;52.0
