Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;IDF_%;T.V.A_%;Formalites;Total_%
SECTION VI;SECTION;Produits des industries chimiques ou des industries connexes;Products of the chemical or allied industries;;;;;;
CHAPITRE 31;CHAPITRE;Engrais;;;;;;;
3101;RANGEE 01;"Fertilizers; animal or vegetable, whether or not mixed together or chemically treated; fertilizers produced by the mixing or chemical treatment of animal or vegetable products";;;;;;;
310100;HS6;Engrais d'origine animale ou végétale;engrais résultant du mélange ou du traitement chimique de produits d'origine animale ou végétale;;;;;;
3101001000;HS10;Engrais d'origine animale ou végétale - Type 1;engrais résultant du mélange ou du traitement chimique de produits d'origine animale ou végétale - Type 1;Agriculture;10.0;3.5;16.0;910 Déclaration d'Importation du Produit;29.5
3101002000;HS10;Engrais d'origine animale ou végétale - Type 2;engrais résultant du mélange ou du traitement chimique de produits d'origine animale ou végétale - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3101009000;HS10;Engrais d'origine animale ou végétale - Autre;engrais résultant du mélange ou du traitement chimique de produits d'origine animale ou végétale - Other;Agriculture;10.0;3.5;16.0;=;29.5
3102;RANGEE 02;"Fertilizers; mineral or chemical, nitrogenous";;;;;;;
310210;HS6;Urée;Fertilizers;;;;;;
3102101000;HS10;Urée - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3102102000;HS10;Urée - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3102109000;HS10;Urée - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310221;HS6;Sulfate d'ammonium;Fertilizers;;;;;;
3102211000;HS10;Sulfate d'ammonium - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3102212000;HS10;Sulfate d'ammonium - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3102219000;HS10;Sulfate d'ammonium - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310229;HS6;Autres;Fertilizers;;;;;;
3102291000;HS10;Autres - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3102292000;HS10;Autres - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3102299000;HS10;Autres - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310230;HS6;Nitrate d'ammonium;Fertilizers;;;;;;
3102301000;HS10;Nitrate d'ammonium - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3102302000;HS10;Nitrate d'ammonium - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3102309000;HS10;Nitrate d'ammonium - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310240;HS6;Mélanges de nitrate d'ammonium et de carbonate de calcium ou d'autres matières inorganiques dépourvues de pouvoir fertilisant;Fertilizers;;;;;;
3102401000;HS10;Mélanges de nitrate d'ammonium et de carbonate de calcium ou d'autres matières inorganiques dépourvues de pouvoir fertilisant - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3102402000;HS10;Mélanges de nitrate d'ammonium et de carbonate de calcium ou d'autres matières inorganiques dépourvues de pouvoir fertilisant - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3102409000;HS10;Mélanges de nitrate d'ammonium et de carbonate de calcium ou d'autres matières inorganiques dépourvues de pouvoir fertilisant - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
310250;HS6;Nitrate de sodium;Fertilizers;;;;;;
3102501000;HS10;Nitrate de sodium - Type 1;Fertilizers - Type 1;Agriculture;10.0;3.5;16.0;=;29.5
3102502000;HS10;Nitrate de sodium - Type 2;Fertilizers - Type 2;Agriculture;10.0;3.5;16.0;=;29.5
3102509000;HS10;Nitrate de sodium - Autre;Fertilizers - Other;Agriculture;10.0;3.5;16.0;=;29.5
