Code;Niveau;Chapitre;Description_FR;Description_EN;Categorie;Unite;DD_Taux_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites_Administratives;Total_Import_Taxes_%
810110;HS6;81;Poudres;Tungsten (wolfram);other_metals;KG;10.0;16.0;0.0;D.D:10.0% | IDF:3.5% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;29.5
8101101000;HS10;81;Poudres - Type 1;Tungsten (wolfram) - Type 1;;;10.0;;;;;
8101102000;HS10;81;Poudres - Type 2;Tungsten (wolfram) - Type 2;;;10.0;;;;;
8101109000;HS10;81;Poudres - Autre;Tungsten (wolfram) - Other;;;10.0;;;;;
810194;HS6;81;Tungstène sous forme brute;Tungsten (wolfram);other_metals;KG;10.0;16.0;0.0;D.D:10.0% | IDF:3.5% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;29.5
8101941000;HS10;81;Tungstène sous forme brute - Type 1;Tungsten (wolfram) - Type 1;;;10.0;;;;;
8101942000;HS10;81;Tungstène sous forme brute - Type 2;Tungsten (wolfram) - Type 2;;;10.0;;;;;
8101949000;HS10;81;Tungstène sous forme brute - Autre;Tungsten (wolfram) - Other;;;10.0;;;;;
810196;HS6;81;Fils;Tungsten (wolfram);other_metals;KG;10.0;16.0;0.0;D.D:10.0% | IDF:3.5% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;29.5
8101961000;HS10;81;Fils - Type 1;Tungsten (wolfram) - Type 1;;;10.0;;;;;
8101962000;HS10;81;Fils - Type 2;Tungsten (wolfram) - Type 2;;;10.0;;;;;
8101969000;HS10;81;Fils - Autre;Tungsten (wolfram) - Other;;;10.0;;;;;
810197;HS6;81;Déchets et débris;Tungsten (wolfram);other_metals;KG;10.0;16.0;0.0;D.D:10.0% | IDF:3.5% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;29.5
8101971000;HS10;81;Déchets et débris - Type 1;Tungsten (wolfram) - Type 1;;;10.0;;;;;
8101972000;HS10;81;Déchets et débris - Type 2;Tungsten (wolfram) - Type 2;;;10.0;;;;;
8101979000;HS10;81;Déchets et débris - Autre;Tungsten (wolfram) - Other;;;10.0;;;;;
810199;HS6;81;Autres;Tungsten (wolfram);other_metals;KG;10.0;16.0;0.0;D.D:10.0% | IDF:3.5% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;29.5
8101991000;HS10;81;Autres - Type 1;Tungsten (wolfram) - Type 1;;;10.0;;;;;
8101992000;HS10;81;Autres - Type 2;Tungsten (wolfram) - Type 2;;;10.0;;;;;
8101999000;HS10;81;Autres - Autre;Tungsten (wolfram) - Other;;;10.0;;;;;
810210;HS6;81;Poudres;Molybdenum;other_metals;KG;10.0;16.0;0.0;D.D:10.0% | IDF:3.5% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;29.5
