Code;Niveau;Description_FR;Description_EN;DD_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites;Total_%
CHAPITRE 01;---;Animaux vivants;;;;;;;
010110;HS6;Chevaux reproducteurs de race pure;Pure-bred breeding horses;17.5;20.0;0.0;D.D:17.5% | TPI:0.25% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;37.75
0101101000;HS10;Chevaux reproducteurs de race pure - Reproduction;Pure-bred breeding horses - Breeding;17.5;;;;;
0101109000;HS10;Chevaux reproducteurs de race pure - Boucherie;Pure-bred breeding horses - Slaughter;17.5;;;;;
010121;HS6;Chevaux vivants (non reproducteurs);Live horses (non-breeding);17.5;20.0;0.0;=;=;37.75
0101210010;HS10;Chevaux vivants (non reproducteurs) - Usage spécifique;Live horses (non-breeding) - Specific use;17.5;;;;;
0101210090;HS10;Chevaux vivants (non reproducteurs) - Autre usage;Live horses (non-breeding) - Other use;17.5;;;;;
010129;HS6;Autres;Horses;17.5;20.0;0.0;=;=;37.75
0101291000;HS10;Autres - Type 1;Horses - Type 1;17.5;;;;;
0101292000;HS10;Autres - Type 2;Horses - Type 2;17.5;;;;;
0101299000;HS10;Autres - Autre;Horses - Other;17.5;;;;;
010130;HS6;Ânes;Asses;17.5;20.0;0.0;=;=;37.75
0101301000;HS10;Ânes - Type 1;Asses - Type 1;17.5;;;;;
0101302000;HS10;Ânes - Type 2;Asses - Type 2;17.5;;;;;
0101309000;HS10;Ânes - Autre;Asses - Other;17.5;;;;;
010190;HS6;Autres;Mules and hinnies;17.5;20.0;0.0;=;=;37.75
0101901000;HS10;Autres - Type 1;Mules and hinnies - Type 1;17.5;;;;;
0101902000;HS10;Autres - Type 2;Mules and hinnies - Type 2;17.5;;;;;
0101909000;HS10;Autres - Autre;Mules and hinnies - Other;17.5;;;;;
010221;HS6;Bovins reproducteurs de race pure;Pure-bred breeding bovine animals;17.5;20.0;0.0;=;=;37.75
0102211000;HS10;Bovins reproducteurs de race pure - Reproduction;Pure-bred breeding bovine animals - Breeding;17.5;;;;;
0102219000;HS10;Bovins reproducteurs de race pure - Boucherie;Pure-bred breeding bovine animals - Slaughter;17.5;;;;;
010229;HS6;Autres;Cattle;17.5;20.0;0.0;=;=;37.75
0102291000;HS10;Autres - Type 1;Cattle - Type 1;17.5;;;;;
0102292000;HS10;Autres - Type 2;Cattle - Type 2;17.5;;;;;
0102299000;HS10;Autres - Autre;Cattle - Other;17.5;;;;;
010231;HS6;Reproducteurs de race pure;Buffalo;17.5;20.0;0.0;=;=;37.75
0102311000;HS10;Reproducteurs de race pure - Type 1;Buffalo - Type 1;17.5;;;;;
0102312000;HS10;Reproducteurs de race pure - Type 2;Buffalo - Type 2;17.5;;;;;
0102319000;HS10;Reproducteurs de race pure - Autre;Buffalo - Other;17.5;;;;;
010239;HS6;Autres;Buffalo;17.5;20.0;0.0;=;=;37.75
0102391000;HS10;Autres - Type 1;Buffalo - Type 1;17.5;;;;;
0102392000;HS10;Autres - Type 2;Buffalo - Type 2;17.5;;;;;
0102399000;HS10;Autres - Autre;Buffalo - Other;17.5;;;;;
010290;HS6;Autres bovins vivants;Other live bovine animals;17.5;20.0;0.0;=;=;37.75
0102901000;HS10;Autres bovins vivants - Type 1;Other live bovine animals - Type 1;17.5;;;;;
0102902000;HS10;Autres bovins vivants - Type 2;Other live bovine animals - Type 2;17.5;;;;;
