Code;Niveau;Chapitre;Description_FR;Description_EN;Categorie;Unite;DD_Taux_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites_Administratives;Total_Import_Taxes_%
210111;HS6;21;Extraits de café;Coffee extracts;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2101111000;HS10;21;Extraits de café - Type 1;Coffee extracts - Type 1;;;10.0;;;;;
2101112000;HS10;21;Extraits de café - Type 2;Coffee extracts - Type 2;;;10.0;;;;;
2101119000;HS10;21;Extraits de café - Autre;Coffee extracts - Other;;;10.0;;;;;
210112;HS6;21;Préparations à base d'extraits de café;Preparations based on coffee extracts;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2101121000;HS10;21;Préparations à base d'extraits de café - Type 1;Preparations based on coffee extracts - Type 1;;;10.0;;;;;
2101122000;HS10;21;Préparations à base d'extraits de café - Type 2;Preparations based on coffee extracts - Type 2;;;10.0;;;;;
2101129000;HS10;21;Préparations à base d'extraits de café - Autre;Preparations based on coffee extracts - Other;;;10.0;;;;;
210120;HS6;21;Extraits de thé ou maté;Tea or maté extracts;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2101201000;HS10;21;Extraits de thé ou maté - Type 1;Tea or maté extracts - Type 1;;;10.0;;;;;
2101202000;HS10;21;Extraits de thé ou maté - Type 2;Tea or maté extracts - Type 2;;;10.0;;;;;
2101209000;HS10;21;Extraits de thé ou maté - Autre;Tea or maté extracts - Other;;;10.0;;;;;
210130;HS6;21;Chicorée torréfiée et extraits;Roasted chicory and extracts;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2101301000;HS10;21;Chicorée torréfiée et extraits - Type 1;Roasted chicory and extracts - Type 1;;;10.0;;;;;
2101302000;HS10;21;Chicorée torréfiée et extraits - Type 2;Roasted chicory and extracts - Type 2;;;10.0;;;;;
2101309000;HS10;21;Chicorée torréfiée et extraits - Autre;Roasted chicory and extracts - Other;;;10.0;;;;;
210210;HS6;21;Levures actives;Active yeasts;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2102101000;HS10;21;Levures actives - Type 1;Active yeasts - Type 1;;;10.0;;;;;
2102102000;HS10;21;Levures actives - Type 2;Active yeasts - Type 2;;;10.0;;;;;
2102109000;HS10;21;Levures actives - Autre;Active yeasts - Other;;;10.0;;;;;
210220;HS6;21;Levures inactives;Inactive yeasts;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2102200010;HS10;21;Levures inactives - Usage spécifique;Inactive yeasts - Specific use;;;10.0;;;;;
2102200090;HS10;21;Levures inactives - Autre usage;Inactive yeasts - Other use;;;10.0;;;;;
210230;HS6;21;Poudres à lever préparées;Prepared baking powders;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
210310;HS6;21;Sauce soja;Soy sauce;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2103101000;HS10;21;Sauce soja - Type 1;Soy sauce - Type 1;;;10.0;;;;;
2103102000;HS10;21;Sauce soja - Type 2;Soy sauce - Type 2;;;10.0;;;;;
2103109000;HS10;21;Sauce soja - Autre;Soy sauce - Other;;;10.0;;;;;
210320;HS6;21;Ketchup et autres sauces tomates;Ketchup and other tomato sauces;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2103201000;HS10;21;Ketchup et autres sauces tomates - Type 1;Ketchup and other tomato sauces - Type 1;;;10.0;;;;;
2103202000;HS10;21;Ketchup et autres sauces tomates - Type 2;Ketchup and other tomato sauces - Type 2;;;10.0;;;;;
2103209000;HS10;21;Ketchup et autres sauces tomates - Autre;Ketchup and other tomato sauces - Other;;;10.0;;;;;
210330;HS6;21;Farine de moutarde et moutarde préparée;Mustard flour and prepared mustard;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2103301000;HS10;21;Farine de moutarde et moutarde préparée - Type 1;Mustard flour and prepared mustard - Type 1;;;10.0;;;;;
2103302000;HS10;21;Farine de moutarde et moutarde préparée - Type 2;Mustard flour and prepared mustard - Type 2;;;10.0;;;;;
2103309000;HS10;21;Farine de moutarde et moutarde préparée - Autre;Mustard flour and prepared mustard - Other;;;10.0;;;;;
210390;HS6;21;Autres sauces et condiments;Other sauces and condiments;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2103901000;HS10;21;Autres sauces et condiments - Type 1;Other sauces and condiments - Type 1;;;10.0;;;;;
2103902000;HS10;21;Autres sauces et condiments - Type 2;Other sauces and condiments - Type 2;;;10.0;;;;;
2103909000;HS10;21;Autres sauces et condiments - Autre;Other sauces and condiments - Other;;;10.0;;;;;
210410;HS6;21;Préparations pour soupes et potages;Soup and broth preparations;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2104101000;HS10;21;Préparations pour soupes et potages - Type 1;Soup and broth preparations - Type 1;;;10.0;;;;;
2104102000;HS10;21;Préparations pour soupes et potages - Type 2;Soup and broth preparations - Type 2;;;10.0;;;;;
2104109000;HS10;21;Préparations pour soupes et potages - Autre;Soup and broth preparations - Other;;;10.0;;;;;
210420;HS6;21;Préparations alimentaires composites;Composite food preparations;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2104201000;HS10;21;Préparations alimentaires composites - Type 1;Composite food preparations - Type 1;;;10.0;;;;;
2104202000;HS10;21;Préparations alimentaires composites - Type 2;Composite food preparations - Type 2;;;10.0;;;;;
2104209000;HS10;21;Préparations alimentaires composites - Autre;Composite food preparations - Other;;;10.0;;;;;
210500;HS6;21;Glaces de consommation;Ice cream;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2105001000;HS10;21;Glaces de consommation - Type 1;Ice cream - Type 1;;;10.0;;;;;
2105002000;HS10;21;Glaces de consommation - Type 2;Ice cream - Type 2;;;10.0;;;;;
2105009000;HS10;21;Glaces de consommation - Autre;Ice cream - Other;;;10.0;;;;;
210610;HS6;21;Concentrats de protéines et substances protéiques texturées;Protein;misc_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2106101000;HS10;21;Concentrats de protéines et substances protéiques texturées - Type 1;Protein - Type 1;;;10.0;;;;;
2106102000;HS10;21;Concentrats de protéines et substances protéiques texturées - Type 2;Protein - Type 2;;;10.0;;;;;
2106109000;HS10;21;Concentrats de protéines et substances protéiques texturées - Autre;Protein - Other;;;10.0;;;;;
210690;HS6;21;Autres préparations alimentaires;Other food preparations;processed_food;KG;10.0;20.0;0.0;D.D:10.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;30.0
2106901000;HS10;21;Autres préparations alimentaires - Type 1;Other food preparations - Type 1;;;10.0;;;;;
2106902000;HS10;21;Autres préparations alimentaires - Type 2;Other food preparations - Type 2;;;10.0;;;;;
2106909000;HS10;21;Autres préparations alimentaires - Autre;Other food preparations - Other;;;10.0;;;;;
220110;HS6;22;Eaux minérales et eaux gazéifiées;Mineral and aerated waters;beverages;KG;20.0;20.0;0.0;D.D:20.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;40.0
2201101000;HS10;22;Eaux minérales et eaux gazéifiées - Type 1;Mineral and aerated waters - Type 1;;;20.0;;;;;
2201102000;HS10;22;Eaux minérales et eaux gazéifiées - Type 2;Mineral and aerated waters - Type 2;;;20.0;;;;;
2201109000;HS10;22;Eaux minérales et eaux gazéifiées - Autre;Mineral and aerated waters - Other;;;20.0;;;;;
220190;HS6;22;Autres eaux non sucrées;Other unsweetened waters;beverages;KG;20.0;20.0;0.0;D.D:20.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;40.0
2201901000;HS10;22;Autres eaux non sucrées - Type 1;Other unsweetened waters - Type 1;;;20.0;;;;;
2201902000;HS10;22;Autres eaux non sucrées - Type 2;Other unsweetened waters - Type 2;;;20.0;;;;;
2201909000;HS10;22;Autres eaux non sucrées - Autre;Other unsweetened waters - Other;;;20.0;;;;;
220210;HS6;22;Eaux avec sucre ou édulcorants;Waters with sugar or sweeteners;beverages;KG;20.0;20.0;0.0;D.D:20.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;40.0
2202101000;HS10;22;Eaux avec sucre ou édulcorants - Type 1;Waters with sugar or sweeteners - Type 1;;;20.0;;;;;
2202102000;HS10;22;Eaux avec sucre ou édulcorants - Type 2;Waters with sugar or sweeteners - Type 2;;;20.0;;;;;
2202109000;HS10;22;Eaux avec sucre ou édulcorants - Autre;Waters with sugar or sweeteners - Other;;;20.0;;;;;
220290;HS6;22;Autres boissons non alcooliques;Other non-alcoholic beverages;beverages;KG;20.0;20.0;0.0;D.D:20.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;40.0
2202901000;HS10;22;Autres boissons non alcooliques - Type 1;Other non-alcoholic beverages - Type 1;;;20.0;;;;;
2202902000;HS10;22;Autres boissons non alcooliques - Type 2;Other non-alcoholic beverages - Type 2;;;20.0;;;;;
2202909000;HS10;22;Autres boissons non alcooliques - Autre;Other non-alcoholic beverages - Other;;;20.0;;;;;
220291;HS6;22;Bières sans alcool;Non-alcoholic beers;beverages;KG;20.0;20.0;0.0;D.D:20.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;40.0
2202911000;HS10;22;Bières sans alcool - Type 1;Non-alcoholic beers - Type 1;;;20.0;;;;;
2202912000;HS10;22;Bières sans alcool - Type 2;Non-alcoholic beers - Type 2;;;20.0;;;;;
2202919000;HS10;22;Bières sans alcool - Autre;Non-alcoholic beers - Other;;;20.0;;;;;
220299;HS6;22;Autres boissons non alcoolisées;Other non-alcoholic beverages;beverages;KG;20.0;20.0;0.0;D.D:20.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;40.0
2202991000;HS10;22;Autres boissons non alcoolisées - Type 1;Other non-alcoholic beverages - Type 1;;;20.0;;;;;
2202992000;HS10;22;Autres boissons non alcoolisées - Type 2;Other non-alcoholic beverages - Type 2;;;20.0;;;;;
2202999000;HS10;22;Autres boissons non alcoolisées - Autre;Other non-alcoholic beverages - Other;;;20.0;;;;;
220300;HS6;22;Bières de malt;Beer made from malt;beverages;KG;20.0;20.0;0.0;D.D:20.0% | T.V.A:20.0%;910 Déclaration d'Importation du Produit;40.0
2203001000;HS10;22;Bières de malt - Type 1;Beer made from malt - Type 1;;;20.0;;;;;
