Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;T.V.A_%;Formalites;Total_%
SECTION XI;SECTION;Matières textiles et ouvrages en ces matières;Textiles and textile articles;;;;;
CHAPITRE 51;CHAPITRE;Laine, poils fins;;;;;;
5101;RANGEE 01;Wool, not carded or combed;;;;;;
510111;HS6;Laine en suint de tonte;Greasy shorn wool;;;;;
5101111000;HS10;Laine en suint de tonte - Grade 1 / Premium;Greasy shorn wool - Grade 1 / Premium;Textile;7.5;17.0;910 Déclaration d'Importation du Produit;24.5
5101112000;HS10;Laine en suint de tonte - Grade 2 / Standard;Greasy shorn wool - Grade 2 / Standard;Textile;7.5;17.0;=;24.5
5101119000;HS10;Laine en suint de tonte - Autre;Greasy shorn wool - Other;Textile;7.5;17.0;=;24.5
510119;HS6;Autres;Wool;;;;;
5101191000;HS10;Autres - Type 1;Wool - Type 1;Textile;7.5;17.0;=;24.5
5101192000;HS10;Autres - Type 2;Wool - Type 2;Textile;7.5;17.0;=;24.5
5101199000;HS10;Autres - Autre;Wool - Other;Textile;7.5;17.0;=;24.5
510121;HS6;Laine dégraissée, non carbonisée;Degreased wool, not carbonized;;;;;
5101211000;HS10;Laine dégraissée, non carbonisée - Grade 1 / Premium;Degreased wool, not carbonized - Grade 1 / Premium;Textile;7.5;17.0;=;24.5
5101212000;HS10;Laine dégraissée, non carbonisée - Grade 2 / Standard;Degreased wool, not carbonized - Grade 2 / Standard;Textile;7.5;17.0;=;24.5
5101219000;HS10;Laine dégraissée, non carbonisée - Autre;Degreased wool, not carbonized - Other;Textile;7.5;17.0;=;24.5
510129;HS6;Autres;Wool;;;;;
5101291000;HS10;Autres - Type 1;Wool - Type 1;Textile;7.5;17.0;=;24.5
5101292000;HS10;Autres - Type 2;Wool - Type 2;Textile;7.5;17.0;=;24.5
5101299000;HS10;Autres - Autre;Wool - Other;Textile;7.5;17.0;=;24.5
510130;HS6;Laine carbonisée;Carbonized wool;;;;;
5101301000;HS10;Laine carbonisée - Grade 1 / Premium;Carbonized wool - Grade 1 / Premium;Textile;7.5;17.0;=;24.5
5101302000;HS10;Laine carbonisée - Grade 2 / Standard;Carbonized wool - Grade 2 / Standard;Textile;7.5;17.0;=;24.5
5101309000;HS10;Laine carbonisée - Autre;Carbonized wool - Other;Textile;7.5;17.0;=;24.5
5102;RANGEE 02;Fine or coarse animal hair, not carded or combed;;;;;;
510210;HS6;Poils fins :;Poils fins :;;;;;
5102101000;HS10;Poils fins : - Type 1;Poils fins : - Type 1;Textile;7.5;17.0;=;24.5
5102102000;HS10;Poils fins : - Type 2;Poils fins : - Type 2;Textile;7.5;17.0;=;24.5
5102109000;HS10;Poils fins : - Autre;Poils fins : - Other;Textile;7.5;17.0;=;24.5
510211;HS6;De chèvre de Cachemire;Hair;;;;;
5102111000;HS10;De chèvre de Cachemire - Type 1;Hair - Type 1;Textile;7.5;17.0;=;24.5
5102112000;HS10;De chèvre de Cachemire - Type 2;Hair - Type 2;Textile;7.5;17.0;=;24.5
5102119000;HS10;De chèvre de Cachemire - Autre;Hair - Other;Textile;7.5;17.0;=;24.5
510219;HS6;Autres;Hair;;;;;
5102191000;HS10;Autres - Type 1;Hair - Type 1;Textile;7.5;17.0;=;24.5
5102192000;HS10;Autres - Type 2;Hair - Type 2;Textile;7.5;17.0;=;24.5
5102199000;HS10;Autres - Autre;Hair - Other;Textile;7.5;17.0;=;24.5
510220;HS6;Poils grossiers;Hair;;;;;
5102201000;HS10;Poils grossiers - Type 1;Hair - Type 1;Textile;7.5;17.0;=;24.5
5102202000;HS10;Poils grossiers - Type 2;Hair - Type 2;Textile;7.5;17.0;=;24.5
5102209000;HS10;Poils grossiers - Autre;Hair - Other;Textile;7.5;17.0;=;24.5
5103;RANGEE 03;Waste of wool or of fine or coarse animal hair, including yarn waste but excluding garnetted stock;;;;;;
510310;HS6;Blousses de laine ou de poils fins;Wool and hair;;;;;
5103101000;HS10;Blousses de laine ou de poils fins - Type 1;Wool and hair - Type 1;Textile;7.5;17.0;=;24.5
5103102000;HS10;Blousses de laine ou de poils fins - Type 2;Wool and hair - Type 2;Textile;7.5;17.0;=;24.5
5103109000;HS10;Blousses de laine ou de poils fins - Autre;Wool and hair - Other;Textile;7.5;17.0;=;24.5
510320;HS6;Autres déchets de laine ou de poils fins;Wool and hair;;;;;
5103201000;HS10;Autres déchets de laine ou de poils fins - Type 1;Wool and hair - Type 1;Textile;7.5;17.0;=;24.5
5103202000;HS10;Autres déchets de laine ou de poils fins - Type 2;Wool and hair - Type 2;Textile;7.5;17.0;=;24.5
5103209000;HS10;Autres déchets de laine ou de poils fins - Autre;Wool and hair - Other;Textile;7.5;17.0;=;24.5
510330;HS6;Déchets de poils grossiers;Wool and hair;;;;;
5103301000;HS10;Déchets de poils grossiers - Type 1;Wool and hair - Type 1;Textile;7.5;17.0;=;24.5
5103302000;HS10;Déchets de poils grossiers - Type 2;Wool and hair - Type 2;Textile;7.5;17.0;=;24.5
5103309000;HS10;Déchets de poils grossiers - Autre;Wool and hair - Other;Textile;7.5;17.0;=;24.5
5104;RANGEE 04;"Wool, or fine or coarse animal hair; garnetted stock";;;;;;
510400;HS6;Effilochés de laine ou de poils fins ou grossiers;Wool and hair;;;;;
5104001000;HS10;Effilochés de laine ou de poils fins ou grossiers - Type 1;Wool and hair - Type 1;Textile;7.5;17.0;=;24.5
5104002000;HS10;Effilochés de laine ou de poils fins ou grossiers - Type 2;Wool and hair - Type 2;Textile;7.5;17.0;=;24.5
5104009000;HS10;Effilochés de laine ou de poils fins ou grossiers - Autre;Wool and hair - Other;Textile;7.5;17.0;=;24.5
5105;RANGEE 05;"Wool and fine or coarse animal hair; carded or combed (including combed wool in fragments)";;;;;;
510510;HS6;Laine cardée;Wool;;;;;
5105101000;HS10;Laine cardée - Type 1;Wool - Type 1;Textile;7.5;17.0;=;24.5
5105102000;HS10;Laine cardée - Type 2;Wool - Type 2;Textile;7.5;17.0;=;24.5
5105109000;HS10;Laine cardée - Autre;Wool - Other;Textile;7.5;17.0;=;24.5
510521;HS6;Laine peignée en vrac;Wool;;;;;
5105211000;HS10;Laine peignée en vrac - Type 1;Wool - Type 1;Textile;7.5;17.0;=;24.5
5105212000;HS10;Laine peignée en vrac - Type 2;Wool - Type 2;Textile;7.5;17.0;=;24.5
5105219000;HS10;Laine peignée en vrac - Autre;Wool - Other;Textile;7.5;17.0;=;24.5
510529;HS6;Autre;Wool;;;;;
5105291000;HS10;Autre - Type 1;Wool - Type 1;Textile;7.5;17.0;=;24.5
5105292000;HS10;Autre - Type 2;Wool - Type 2;Textile;7.5;17.0;=;24.5
5105299000;HS10;Autre - Autre;Wool - Other;Textile;7.5;17.0;=;24.5
510531;HS6;De chèvre de Cachemire;Hair;;;;;
5105311000;HS10;De chèvre de Cachemire - Type 1;Hair - Type 1;Textile;7.5;17.0;=;24.5
5105312000;HS10;De chèvre de Cachemire - Type 2;Hair - Type 2;Textile;7.5;17.0;=;24.5
5105319000;HS10;De chèvre de Cachemire - Autre;Hair - Other;Textile;7.5;17.0;=;24.5
