Code;Niveau;Chapitre;Description_FR;Description_EN;Categorie;Unite;DD_Taux_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites_Administratives;Total_Import_Taxes_%
010110;HS6;01;Chevaux reproducteurs de race pure;Pure-bred breeding horses;livestock;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0101101000;HS10;01;Chevaux reproducteurs de race pure - Reproduction;Pure-bred breeding horses - Breeding;;;10.0;;;;;
0101109000;HS10;01;Chevaux reproducteurs de race pure - Boucherie;Pure-bred breeding horses - Slaughter;;;10.0;;;;;
010121;HS6;01;Chevaux vivants (non reproducteurs);Live horses (non-breeding);livestock;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0101210010;HS10;01;Chevaux vivants (non reproducteurs) - Usage spécifique;Live horses (non-breeding) - Specific use;;;10.0;;;;;
0101210090;HS10;01;Chevaux vivants (non reproducteurs) - Autre usage;Live horses (non-breeding) - Other use;;;10.0;;;;;
010129;HS6;01;Autres;Horses;live_animals;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0101291000;HS10;01;Autres - Type 1;Horses - Type 1;;;10.0;;;;;
0101292000;HS10;01;Autres - Type 2;Horses - Type 2;;;10.0;;;;;
0101299000;HS10;01;Autres - Autre;Horses - Other;;;10.0;;;;;
010130;HS6;01;Ânes;Asses;live_animals;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0101301000;HS10;01;Ânes - Type 1;Asses - Type 1;;;10.0;;;;;
0101302000;HS10;01;Ânes - Type 2;Asses - Type 2;;;10.0;;;;;
0101309000;HS10;01;Ânes - Autre;Asses - Other;;;10.0;;;;;
010190;HS6;01;Autres;Mules and hinnies;live_animals;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0101901000;HS10;01;Autres - Type 1;Mules and hinnies - Type 1;;;10.0;;;;;
0101902000;HS10;01;Autres - Type 2;Mules and hinnies - Type 2;;;10.0;;;;;
0101909000;HS10;01;Autres - Autre;Mules and hinnies - Other;;;10.0;;;;;
010221;HS6;01;Bovins reproducteurs de race pure;Pure-bred breeding bovine animals;livestock;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0102211000;HS10;01;Bovins reproducteurs de race pure - Reproduction;Pure-bred breeding bovine animals - Breeding;;;10.0;;;;;
0102219000;HS10;01;Bovins reproducteurs de race pure - Boucherie;Pure-bred breeding bovine animals - Slaughter;;;10.0;;;;;
010229;HS6;01;Autres;Cattle;live_animals;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0102291000;HS10;01;Autres - Type 1;Cattle - Type 1;;;10.0;;;;;
0102292000;HS10;01;Autres - Type 2;Cattle - Type 2;;;10.0;;;;;
0102299000;HS10;01;Autres - Autre;Cattle - Other;;;10.0;;;;;
010231;HS6;01;Reproducteurs de race pure;Buffalo;live_animals;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0102311000;HS10;01;Reproducteurs de race pure - Type 1;Buffalo - Type 1;;;10.0;;;;;
0102312000;HS10;01;Reproducteurs de race pure - Type 2;Buffalo - Type 2;;;10.0;;;;;
0102319000;HS10;01;Reproducteurs de race pure - Autre;Buffalo - Other;;;10.0;;;;;
010239;HS6;01;Autres;Buffalo;live_animals;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0102391000;HS10;01;Autres - Type 1;Buffalo - Type 1;;;10.0;;;;;
0102392000;HS10;01;Autres - Type 2;Buffalo - Type 2;;;10.0;;;;;
0102399000;HS10;01;Autres - Autre;Buffalo - Other;;;10.0;;;;;
010290;HS6;01;Autres bovins vivants;Other live bovine animals;live_animals;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0102901000;HS10;01;Autres bovins vivants - Type 1;Other live bovine animals - Type 1;;;10.0;;;;;
0102902000;HS10;01;Autres bovins vivants - Type 2;Other live bovine animals - Type 2;;;10.0;;;;;
0102909000;HS10;01;Autres bovins vivants - Autre;Other live bovine animals - Other;;;10.0;;;;;
010310;HS6;01;Porcins reproducteurs de race pure;Pure-bred breeding swine;livestock;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
0103101000;HS10;01;Porcins reproducteurs de race pure - Reproduction;Pure-bred breeding swine - Breeding;;;10.0;;;;;
0103109000;HS10;01;Porcins reproducteurs de race pure - Boucherie;Pure-bred breeding swine - Slaughter;;;10.0;;;;;
010391;HS6;01;Autres porcins < 50 kg;Other swine < 50 kg;livestock;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
010392;HS6;01;D'un poids égal ou supérieur à 50 kg;Swine;live_animals;KG;10.0;16.0;0.0;D.D:10.0% | T.V.A:16.0%;910 Déclaration d'Importation du Produit;26.0
