Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;DAPS_%;DD_%;PRCT_%;TCS_%;TVA_%;Formalites;Total_%
SECTION IV;SECTION;"Produits des industries alimentaires; boissons, liquides alcooliques et vinaigres; tabacs";"Prepared foodstuffs; beverages, spirits, vinegar; tobacco";;;;;;;;
CHAPITRE 21;CHAPITRE;Préparations alimentaires diverses;;;;;;;;;
2101;RANGEE 01;"Extracts, essences, concentrates of coffee, tea or mate; preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof";;;;;;;;;
210111;HS6;Extraits de café;Coffee extracts;;;;;;;;
2101111000;HS10;Extraits de café - Type 1;Coffee extracts - Type 1;Alimentation;;15.0;;;15.0;910 Déclaration d'Importation du Produit;30.0
2101112000;HS10;Extraits de café - Type 2;Coffee extracts - Type 2;Alimentation;;15.0;;;15.0;=;30.0
2101119000;HS10;Extraits de café - Autre;Coffee extracts - Other;Alimentation;;15.0;;;15.0;=;30.0
210112;HS6;Préparations à base d'extraits de café;Preparations based on coffee extracts;;;;;;;;
2101121000;HS10;Préparations à base d'extraits de café - Type 1;Preparations based on coffee extracts - Type 1;Alimentation;;15.0;;;15.0;=;30.0
2101122000;HS10;Préparations à base d'extraits de café - Type 2;Preparations based on coffee extracts - Type 2;Alimentation;;15.0;;;15.0;=;30.0
2101129000;HS10;Préparations à base d'extraits de café - Autre;Preparations based on coffee extracts - Other;Alimentation;;15.0;;;15.0;=;30.0
210120;HS6;Extraits de thé ou maté;Tea or maté extracts;;;;;;;;
2101201000;HS10;Extraits de thé ou maté - Type 1;Tea or maté extracts - Type 1;Alimentation;;15.0;;;15.0;=;30.0
2101202000;HS10;Extraits de thé ou maté - Type 2;Tea or maté extracts - Type 2;Alimentation;;15.0;;;15.0;=;30.0
2101209000;HS10;Extraits de thé ou maté - Autre;Tea or maté extracts - Other;Alimentation;;15.0;;;15.0;=;30.0
210130;HS6;Chicorée torréfiée et extraits;Roasted chicory and extracts;;;;;;;;
2101301000;HS10;Chicorée torréfiée et extraits - Type 1;Roasted chicory and extracts - Type 1;Alimentation;;15.0;;;15.0;=;30.0
2101302000;HS10;Chicorée torréfiée et extraits - Type 2;Roasted chicory and extracts - Type 2;Alimentation;;15.0;;;15.0;=;30.0
2101309000;HS10;Chicorée torréfiée et extraits - Autre;Roasted chicory and extracts - Other;Alimentation;;15.0;;;15.0;=;30.0
2102;RANGEE 02;"Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading no. 3002); prepared baking powders";;;;;;;;;
210210;HS6;Levures actives;Active yeasts;;;;;;;;
2102101000;HS10;Levures actives - Type 1;Active yeasts - Type 1;Alimentation;;15.0;;;15.0;=;30.0
2102102000;HS10;Levures actives - Type 2;Active yeasts - Type 2;Alimentation;;15.0;;;15.0;=;30.0
2102109000;HS10;Levures actives - Autre;Active yeasts - Other;Alimentation;;15.0;;;15.0;=;30.0
210220;HS6;Levures inactives;Inactive yeasts;;;;;;;;
2102200010;HS10;Levures inactives - Usage spécifique;Inactive yeasts - Specific use;Alimentation;;15.0;;;15.0;=;30.0
2102200090;HS10;Levures inactives - Autre usage;Inactive yeasts - Other use;Alimentation;;15.0;;;15.0;=;30.0
210230;HS6;Poudres à lever préparées;Prepared baking powders;;;;;;;;
210230;HS6-DIRECT;Poudres à lever préparées;Prepared baking powders;Alimentation;;15.0;;;15.0;=;30.0
2103;RANGEE 03;"Sauces and preparations therefor; mixed condiments and mixed seasonings, mustard flour and meal and prepared mustard";;;;;;;;;
210310;HS6;Sauce soja;Soy sauce;;;;;;;;
2103101000;HS10;Sauce soja - Type 1;Soy sauce - Type 1;Alimentation;;15.0;;;15.0;=;30.0
2103102000;HS10;Sauce soja - Type 2;Soy sauce - Type 2;Alimentation;;15.0;;;15.0;=;30.0
2103109000;HS10;Sauce soja - Autre;Soy sauce - Other;Alimentation;;15.0;;;15.0;=;30.0
210320;HS6;Ketchup et autres sauces tomates;Ketchup and other tomato sauces;;;;;;;;
2103201000;HS10;Ketchup et autres sauces tomates - Type 1;Ketchup and other tomato sauces - Type 1;Alimentation;;15.0;;;15.0;=;30.0
2103202000;HS10;Ketchup et autres sauces tomates - Type 2;Ketchup and other tomato sauces - Type 2;Alimentation;;15.0;;;15.0;=;30.0
2103209000;HS10;Ketchup et autres sauces tomates - Autre;Ketchup and other tomato sauces - Other;Alimentation;;15.0;;;15.0;=;30.0
210330;HS6;Farine de moutarde et moutarde préparée;Mustard flour and prepared mustard;;;;;;;;
2103301000;HS10;Farine de moutarde et moutarde préparée - Type 1;Mustard flour and prepared mustard - Type 1;Alimentation;;15.0;;;15.0;=;30.0
2103302000;HS10;Farine de moutarde et moutarde préparée - Type 2;Mustard flour and prepared mustard - Type 2;Alimentation;;15.0;;;15.0;=;30.0
2103309000;HS10;Farine de moutarde et moutarde préparée - Autre;Mustard flour and prepared mustard - Other;Alimentation;;15.0;;;15.0;=;30.0
210390;HS6;Autres sauces et condiments;Other sauces and condiments;;;;;;;;
