Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;DAPS_%;DD_%;PRCT_%;TCS_%;TVA_%;Formalites;Total_%
SECTION II;SECTION;Produits du règne végétal;Vegetable products;;;;;;;;
CHAPITRE 11;CHAPITRE;Produits de la minoterie;;;;;;;;;
1101;RANGEE 01;Wheat or meslin flour;;;;;;;;;
110100;HS6;Farines de blé ou de méteil;Wheat or meslin flour;;;;;;;;
1101001000;HS10;Farines de blé ou de méteil - Type 1;Wheat or meslin flour - Type 1;Alimentation;;10.0;;;7.5;910 Déclaration d'Importation du Produit;17.5
1101002000;HS10;Farines de blé ou de méteil - Type 2;Wheat or meslin flour - Type 2;Alimentation;;10.0;;;7.5;=;17.5
1101009000;HS10;Farines de blé ou de méteil - Autre;Wheat or meslin flour - Other;Alimentation;;10.0;;;7.5;=;17.5
1102;RANGEE 02;"Cereal flours; other than of wheat or meslin";;;;;;;;;
110220;HS6;Farine de maïs;Maize flour;;;;;;;;
1102201000;HS10;Farine de maïs - Type 1;Maize flour - Type 1;Alimentation;;10.0;;;7.5;=;17.5
1102202000;HS10;Farine de maïs - Type 2;Maize flour - Type 2;Alimentation;;10.0;;;7.5;=;17.5
1102209000;HS10;Farine de maïs - Autre;Maize flour - Other;Alimentation;;10.0;;;7.5;=;17.5
110290;HS6;Autres;Cereal flours;;;;;;;;
1102901000;HS10;Autres - Type 1;Cereal flours - Type 1;Alimentation;;10.0;;;7.5;=;17.5
1102902000;HS10;Autres - Type 2;Cereal flours - Type 2;Alimentation;;10.0;;;7.5;=;17.5
1102909000;HS10;Autres - Autre;Cereal flours - Other;Alimentation;;10.0;;;7.5;=;17.5
1103;RANGEE 03;"Cereal groats; meal and pellets";;;;;;;;;
110311;HS6;De froment (blé);Cereal groats and meal;;;;;;;;
1103111000;HS10;De froment (blé) - Type 1;Cereal groats and meal - Type 1;Alimentation;;10.0;;;7.5;=;17.5
1103112000;HS10;De froment (blé) - Type 2;Cereal groats and meal - Type 2;Alimentation;;10.0;;;7.5;=;17.5
1103119000;HS10;De froment (blé) - Autre;Cereal groats and meal - Other;Alimentation;;10.0;;;7.5;=;17.5
110313;HS6;De maïs;Cereal groats and meal;;;;;;;;
1103131000;HS10;De maïs - Type 1;Cereal groats and meal - Type 1;Alimentation;;10.0;;;7.5;=;17.5
1103132000;HS10;De maïs - Type 2;Cereal groats and meal - Type 2;Alimentation;;10.0;;;7.5;=;17.5
1103139000;HS10;De maïs - Autre;Cereal groats and meal - Other;Alimentation;;10.0;;;7.5;=;17.5
110319;HS6;D'autres céréales;Cereal groats and meal;;;;;;;;
1103191000;HS10;D'autres céréales - Type 1;Cereal groats and meal - Type 1;Alimentation;;10.0;;;7.5;=;17.5
1103192000;HS10;D'autres céréales - Type 2;Cereal groats and meal - Type 2;Alimentation;;10.0;;;7.5;=;17.5
1103199000;HS10;D'autres céréales - Autre;Cereal groats and meal - Other;Alimentation;;10.0;;;7.5;=;17.5
110320;HS6;Agglomérés sous forme de pellets;Cereal pellets;;;;;;;;
1103201000;HS10;Agglomérés sous forme de pellets - Type 1;Cereal pellets - Type 1;Alimentation;;10.0;;;7.5;=;17.5
1103202000;HS10;Agglomérés sous forme de pellets - Type 2;Cereal pellets - Type 2;Alimentation;;10.0;;;7.5;=;17.5
1103209000;HS10;Agglomérés sous forme de pellets - Autre;Cereal pellets - Other;Alimentation;;10.0;;;7.5;=;17.5
1104;RANGEE 04;"Cereal grains otherwise worked (e.g. hulled, rolled, flaked, pearled, sliced or kibbled) except rice of heading no. 1006; germ of cereals whole, rolled, flaked or ground";;;;;;;;;
110412;HS6;D'avoine;Cereal grains;;;;;;;;
1104121000;HS10;D'avoine - Type 1;Cereal grains - Type 1;Alimentation;;10.0;;;7.5;=;17.5
