Code;Niveau;Chapitre;Description_FR;Description_EN;Categorie;Unite;DD_Taux_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites_Administratives;Total_Import_Taxes_%
410120;HS6;41;Peaux brutes de bovins entières ≤8kg;Whole bovine hides ≤8kg;leather;KG;10.0;7.5;0.0;D.D:10.0% | CEDEAO:1.0% | CISS:1.0% | T.V.A:7.5%;910 Déclaration d'Importation du Produit;19.5
4101201000;HS10;41;Peaux brutes de bovins entières ≤8kg - Type 1;Whole bovine hides ≤8kg - Type 1;;;10.0;;;;;
4101202000;HS10;41;Peaux brutes de bovins entières ≤8kg - Type 2;Whole bovine hides ≤8kg - Type 2;;;10.0;;;;;
4101209000;HS10;41;Peaux brutes de bovins entières ≤8kg - Autre;Whole bovine hides ≤8kg - Other;;;10.0;;;;;
410150;HS6;41;Peaux brutes de bovins entières >16kg;Whole bovine hides >16kg;leather;KG;10.0;7.5;0.0;D.D:10.0% | CEDEAO:1.0% | CISS:1.0% | T.V.A:7.5%;910 Déclaration d'Importation du Produit;19.5
4101501000;HS10;41;Peaux brutes de bovins entières >16kg - Type 1;Whole bovine hides >16kg - Type 1;;;10.0;;;;;
4101502000;HS10;41;Peaux brutes de bovins entières >16kg - Type 2;Whole bovine hides >16kg - Type 2;;;10.0;;;;;
4101509000;HS10;41;Peaux brutes de bovins entières >16kg - Autre;Whole bovine hides >16kg - Other;;;10.0;;;;;
410190;HS6;41;Autres peaux brutes de bovins;Other raw bovine hides;leather;KG;10.0;7.5;0.0;D.D:10.0% | CEDEAO:1.0% | CISS:1.0% | T.V.A:7.5%;910 Déclaration d'Importation du Produit;19.5
4101901000;HS10;41;Autres peaux brutes de bovins - Type 1;Other raw bovine hides - Type 1;;;10.0;;;;;
4101902000;HS10;41;Autres peaux brutes de bovins - Type 2;Other raw bovine hides - Type 2;;;10.0;;;;;
4101909000;HS10;41;Autres peaux brutes de bovins - Autre;Other raw bovine hides - Other;;;10.0;;;;;
410210;HS6;41;Peaux brutes d'ovins lainées;Raw sheepskins with wool;leather;KG;10.0;7.5;0.0;D.D:10.0% | CEDEAO:1.0% | CISS:1.0% | T.V.A:7.5%;910 Déclaration d'Importation du Produit;19.5
4102101000;HS10;41;Peaux brutes d'ovins lainées - Type 1;Raw sheepskins with wool - Type 1;;;10.0;;;;;
4102102000;HS10;41;Peaux brutes d'ovins lainées - Type 2;Raw sheepskins with wool - Type 2;;;10.0;;;;;
4102109000;HS10;41;Peaux brutes d'ovins lainées - Autre;Raw sheepskins with wool - Other;;;10.0;;;;;
