Code;Niveau;Chapitre;Description_FR;Description_EN;Categorie;Unite;DD_Taux_%;TVA_%;Autres_Taxes_%;Taxes_Detail;Formalites_Administratives;Total_Import_Taxes_%
510111;HS6;51;Laine en suint de tonte;Greasy shorn wool;textiles;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5101111000;HS10;51;Laine en suint de tonte - Grade 1 / Premium;Greasy shorn wool - Grade 1 / Premium;;;10.0;;;;;
5101112000;HS10;51;Laine en suint de tonte - Grade 2 / Standard;Greasy shorn wool - Grade 2 / Standard;;;10.0;;;;;
5101119000;HS10;51;Laine en suint de tonte - Autre;Greasy shorn wool - Other;;;10.0;;;;;
510119;HS6;51;Autres;Wool;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5101191000;HS10;51;Autres - Type 1;Wool - Type 1;;;10.0;;;;;
5101192000;HS10;51;Autres - Type 2;Wool - Type 2;;;10.0;;;;;
5101199000;HS10;51;Autres - Autre;Wool - Other;;;10.0;;;;;
510121;HS6;51;Laine dégraissée, non carbonisée;Degreased wool, not carbonized;textiles;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5101211000;HS10;51;Laine dégraissée, non carbonisée - Grade 1 / Premium;Degreased wool, not carbonized - Grade 1 / Premium;;;10.0;;;;;
5101212000;HS10;51;Laine dégraissée, non carbonisée - Grade 2 / Standard;Degreased wool, not carbonized - Grade 2 / Standard;;;10.0;;;;;
5101219000;HS10;51;Laine dégraissée, non carbonisée - Autre;Degreased wool, not carbonized - Other;;;10.0;;;;;
510129;HS6;51;Autres;Wool;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5101291000;HS10;51;Autres - Type 1;Wool - Type 1;;;10.0;;;;;
5101292000;HS10;51;Autres - Type 2;Wool - Type 2;;;10.0;;;;;
5101299000;HS10;51;Autres - Autre;Wool - Other;;;10.0;;;;;
510130;HS6;51;Laine carbonisée;Carbonized wool;textiles;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5101301000;HS10;51;Laine carbonisée - Grade 1 / Premium;Carbonized wool - Grade 1 / Premium;;;10.0;;;;;
5101302000;HS10;51;Laine carbonisée - Grade 2 / Standard;Carbonized wool - Grade 2 / Standard;;;10.0;;;;;
5101309000;HS10;51;Laine carbonisée - Autre;Carbonized wool - Other;;;10.0;;;;;
510210;HS6;51;Poils fins :;Poils fins :;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5102101000;HS10;51;Poils fins : - Type 1;Poils fins : - Type 1;;;10.0;;;;;
5102102000;HS10;51;Poils fins : - Type 2;Poils fins : - Type 2;;;10.0;;;;;
5102109000;HS10;51;Poils fins : - Autre;Poils fins : - Other;;;10.0;;;;;
510211;HS6;51;De chèvre de Cachemire;Hair;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5102111000;HS10;51;De chèvre de Cachemire - Type 1;Hair - Type 1;;;10.0;;;;;
5102112000;HS10;51;De chèvre de Cachemire - Type 2;Hair - Type 2;;;10.0;;;;;
5102119000;HS10;51;De chèvre de Cachemire - Autre;Hair - Other;;;10.0;;;;;
510219;HS6;51;Autres;Hair;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5102191000;HS10;51;Autres - Type 1;Hair - Type 1;;;10.0;;;;;
5102192000;HS10;51;Autres - Type 2;Hair - Type 2;;;10.0;;;;;
5102199000;HS10;51;Autres - Autre;Hair - Other;;;10.0;;;;;
510220;HS6;51;Poils grossiers;Hair;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5102201000;HS10;51;Poils grossiers - Type 1;Hair - Type 1;;;10.0;;;;;
5102202000;HS10;51;Poils grossiers - Type 2;Hair - Type 2;;;10.0;;;;;
5102209000;HS10;51;Poils grossiers - Autre;Hair - Other;;;10.0;;;;;
510310;HS6;51;Blousses de laine ou de poils fins;Wool and hair;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5103101000;HS10;51;Blousses de laine ou de poils fins - Type 1;Wool and hair - Type 1;;;10.0;;;;;
5103102000;HS10;51;Blousses de laine ou de poils fins - Type 2;Wool and hair - Type 2;;;10.0;;;;;
5103109000;HS10;51;Blousses de laine ou de poils fins - Autre;Wool and hair - Other;;;10.0;;;;;
510320;HS6;51;Autres déchets de laine ou de poils fins;Wool and hair;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5103201000;HS10;51;Autres déchets de laine ou de poils fins - Type 1;Wool and hair - Type 1;;;10.0;;;;;
5103202000;HS10;51;Autres déchets de laine ou de poils fins - Type 2;Wool and hair - Type 2;;;10.0;;;;;
5103209000;HS10;51;Autres déchets de laine ou de poils fins - Autre;Wool and hair - Other;;;10.0;;;;;
510330;HS6;51;Déchets de poils grossiers;Wool and hair;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5103301000;HS10;51;Déchets de poils grossiers - Type 1;Wool and hair - Type 1;;;10.0;;;;;
5103302000;HS10;51;Déchets de poils grossiers - Type 2;Wool and hair - Type 2;;;10.0;;;;;
5103309000;HS10;51;Déchets de poils grossiers - Autre;Wool and hair - Other;;;10.0;;;;;
510400;HS6;51;Effilochés de laine ou de poils fins ou grossiers;Wool and hair;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5104001000;HS10;51;Effilochés de laine ou de poils fins ou grossiers - Type 1;Wool and hair - Type 1;;;10.0;;;;;
5104002000;HS10;51;Effilochés de laine ou de poils fins ou grossiers - Type 2;Wool and hair - Type 2;;;10.0;;;;;
5104009000;HS10;51;Effilochés de laine ou de poils fins ou grossiers - Autre;Wool and hair - Other;;;10.0;;;;;
510510;HS6;51;Laine cardée;Wool;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5105101000;HS10;51;Laine cardée - Type 1;Wool - Type 1;;;10.0;;;;;
5105102000;HS10;51;Laine cardée - Type 2;Wool - Type 2;;;10.0;;;;;
5105109000;HS10;51;Laine cardée - Autre;Wool - Other;;;10.0;;;;;
510521;HS6;51;Laine peignée en vrac;Wool;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5105211000;HS10;51;Laine peignée en vrac - Type 1;Wool - Type 1;;;10.0;;;;;
5105212000;HS10;51;Laine peignée en vrac - Type 2;Wool - Type 2;;;10.0;;;;;
5105219000;HS10;51;Laine peignée en vrac - Autre;Wool - Other;;;10.0;;;;;
510529;HS6;51;Autre;Wool;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5105291000;HS10;51;Autre - Type 1;Wool - Type 1;;;10.0;;;;;
5105292000;HS10;51;Autre - Type 2;Wool - Type 2;;;10.0;;;;;
5105299000;HS10;51;Autre - Autre;Wool - Other;;;10.0;;;;;
510531;HS6;51;De chèvre de Cachemire;Hair;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5105311000;HS10;51;De chèvre de Cachemire - Type 1;Hair - Type 1;;;10.0;;;;;
5105312000;HS10;51;De chèvre de Cachemire - Type 2;Hair - Type 2;;;10.0;;;;;
5105319000;HS10;51;De chèvre de Cachemire - Autre;Hair - Other;;;10.0;;;;;
510539;HS6;51;Autres;Hair;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5105391000;HS10;51;Autres - Type 1;Hair - Type 1;;;10.0;;;;;
5105392000;HS10;51;Autres - Type 2;Hair - Type 2;;;10.0;;;;;
5105399000;HS10;51;Autres - Autre;Hair - Other;;;10.0;;;;;
510540;HS6;51;Poils grossiers;Hair;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5105401000;HS10;51;Poils grossiers - Type 1;Hair - Type 1;;;10.0;;;;;
5105402000;HS10;51;Poils grossiers - Type 2;Hair - Type 2;;;10.0;;;;;
5105409000;HS10;51;Poils grossiers - Autre;Hair - Other;;;10.0;;;;;
510610;HS6;51;Contenant au moins 85% en poids de laine;Yarn;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5106101000;HS10;51;Contenant au moins 85% en poids de laine - Type 1;Yarn - Type 1;;;10.0;;;;;
5106102000;HS10;51;Contenant au moins 85% en poids de laine - Type 2;Yarn - Type 2;;;10.0;;;;;
5106109000;HS10;51;Contenant au moins 85% en poids de laine - Autre;Yarn - Other;;;10.0;;;;;
510620;HS6;51;Contenant moins de 85% en poids de laine;Yarn;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5106201000;HS10;51;Contenant moins de 85% en poids de laine - Type 1;Yarn - Type 1;;;10.0;;;;;
5106202000;HS10;51;Contenant moins de 85% en poids de laine - Type 2;Yarn - Type 2;;;10.0;;;;;
5106209000;HS10;51;Contenant moins de 85% en poids de laine - Autre;Yarn - Other;;;10.0;;;;;
510710;HS6;51;Contenant au moins 85% en poids de laine;Yarn;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5107101000;HS10;51;Contenant au moins 85% en poids de laine - Type 1;Yarn - Type 1;;;10.0;;;;;
5107102000;HS10;51;Contenant au moins 85% en poids de laine - Type 2;Yarn - Type 2;;;10.0;;;;;
5107109000;HS10;51;Contenant au moins 85% en poids de laine - Autre;Yarn - Other;;;10.0;;;;;
510720;HS6;51;Contenant moins de 85% en poids de laine;Yarn;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5107201000;HS10;51;Contenant moins de 85% en poids de laine - Type 1;Yarn - Type 1;;;10.0;;;;;
5107202000;HS10;51;Contenant moins de 85% en poids de laine - Type 2;Yarn - Type 2;;;10.0;;;;;
5107209000;HS10;51;Contenant moins de 85% en poids de laine - Autre;Yarn - Other;;;10.0;;;;;
510810;HS6;51;Cardés;Yarn;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5108101000;HS10;51;Cardés - Type 1;Yarn - Type 1;;;10.0;;;;;
5108102000;HS10;51;Cardés - Type 2;Yarn - Type 2;;;10.0;;;;;
5108109000;HS10;51;Cardés - Autre;Yarn - Other;;;10.0;;;;;
510820;HS6;51;Peignés;Yarn;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5108201000;HS10;51;Peignés - Type 1;Yarn - Type 1;;;10.0;;;;;
5108202000;HS10;51;Peignés - Type 2;Yarn - Type 2;;;10.0;;;;;
5108209000;HS10;51;Peignés - Autre;Yarn - Other;;;10.0;;;;;
510910;HS6;51;Contenant au moins 85% en poids de laine ou de poils fins;Yarn;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5109101000;HS10;51;Contenant au moins 85% en poids de laine ou de poils fins - Type 1;Yarn - Type 1;;;10.0;;;;;
5109102000;HS10;51;Contenant au moins 85% en poids de laine ou de poils fins - Type 2;Yarn - Type 2;;;10.0;;;;;
5109109000;HS10;51;Contenant au moins 85% en poids de laine ou de poils fins - Autre;Yarn - Other;;;10.0;;;;;
510990;HS6;51;Autres;Yarn;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5109901000;HS10;51;Autres - Type 1;Yarn - Type 1;;;10.0;;;;;
5109902000;HS10;51;Autres - Type 2;Yarn - Type 2;;;10.0;;;;;
5109909000;HS10;51;Autres - Autre;Yarn - Other;;;10.0;;;;;
511000;HS6;51;Fils de poils grossiers ou de crins (y compris les fils de crin guipés);Yarn;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5110001000;HS10;51;Fils de poils grossiers ou de crins (y compris les fils de crin guipés) - Type 1;Yarn - Type 1;;;10.0;;;;;
5110002000;HS10;51;Fils de poils grossiers ou de crins (y compris les fils de crin guipés) - Type 2;Yarn - Type 2;;;10.0;;;;;
5110009000;HS10;51;Fils de poils grossiers ou de crins (y compris les fils de crin guipés) - Autre;Yarn - Other;;;10.0;;;;;
511111;HS6;51;D'un poids n'excédant pas 300 g/m²;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5111111000;HS10;51;D'un poids n'excédant pas 300 g/m² - Type 1;Fabrics - Type 1;;;10.0;;;;;
5111112000;HS10;51;D'un poids n'excédant pas 300 g/m² - Type 2;Fabrics - Type 2;;;10.0;;;;;
5111119000;HS10;51;D'un poids n'excédant pas 300 g/m² - Autre;Fabrics - Other;;;10.0;;;;;
511119;HS6;51;Autres;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5111191000;HS10;51;Autres - Type 1;Fabrics - Type 1;;;10.0;;;;;
5111192000;HS10;51;Autres - Type 2;Fabrics - Type 2;;;10.0;;;;;
5111199000;HS10;51;Autres - Autre;Fabrics - Other;;;10.0;;;;;
511120;HS6;51;Autres;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5111201000;HS10;51;Autres - Type 1;Fabrics - Type 1;;;10.0;;;;;
5111202000;HS10;51;Autres - Type 2;Fabrics - Type 2;;;10.0;;;;;
5111209000;HS10;51;Autres - Autre;Fabrics - Other;;;10.0;;;;;
511130;HS6;51;Autres;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5111301000;HS10;51;Autres - Type 1;Fabrics - Type 1;;;10.0;;;;;
5111302000;HS10;51;Autres - Type 2;Fabrics - Type 2;;;10.0;;;;;
5111309000;HS10;51;Autres - Autre;Fabrics - Other;;;10.0;;;;;
511190;HS6;51;Autres;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5111901000;HS10;51;Autres - Type 1;Fabrics - Type 1;;;10.0;;;;;
5111902000;HS10;51;Autres - Type 2;Fabrics - Type 2;;;10.0;;;;;
5111909000;HS10;51;Autres - Autre;Fabrics - Other;;;10.0;;;;;
511211;HS6;51;D'un poids n'excédant pas 200g/m²;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5112111000;HS10;51;D'un poids n'excédant pas 200g/m² - Type 1;Fabrics - Type 1;;;10.0;;;;;
5112112000;HS10;51;D'un poids n'excédant pas 200g/m² - Type 2;Fabrics - Type 2;;;10.0;;;;;
5112119000;HS10;51;D'un poids n'excédant pas 200g/m² - Autre;Fabrics - Other;;;10.0;;;;;
511219;HS6;51;Autres;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5112191000;HS10;51;Autres - Type 1;Fabrics - Type 1;;;10.0;;;;;
5112192000;HS10;51;Autres - Type 2;Fabrics - Type 2;;;10.0;;;;;
5112199000;HS10;51;Autres - Autre;Fabrics - Other;;;10.0;;;;;
511220;HS6;51;Autres;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5112201000;HS10;51;Autres - Type 1;Fabrics - Type 1;;;10.0;;;;;
5112202000;HS10;51;Autres - Type 2;Fabrics - Type 2;;;10.0;;;;;
5112209000;HS10;51;Autres - Autre;Fabrics - Other;;;10.0;;;;;
511230;HS6;51;Autres;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5112301000;HS10;51;Autres - Type 1;Fabrics - Type 1;;;10.0;;;;;
5112302000;HS10;51;Autres - Type 2;Fabrics - Type 2;;;10.0;;;;;
5112309000;HS10;51;Autres - Autre;Fabrics - Other;;;10.0;;;;;
511290;HS6;51;Autres;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5112901000;HS10;51;Autres - Type 1;Fabrics - Type 1;;;10.0;;;;;
5112902000;HS10;51;Autres - Type 2;Fabrics - Type 2;;;10.0;;;;;
5112909000;HS10;51;Autres - Autre;Fabrics - Other;;;10.0;;;;;
511300;HS6;51;Tissus de poils grossiers ou de crin;Fabrics;wool;KG;10.0;15.0;0.0;D.D:10.0% | CEDEAO:1.0% | T.V.A:15.0%;910 Déclaration d'Importation du Produit;26.0
5113001000;HS10;51;Tissus de poils grossiers ou de crin - Type 1;Fabrics - Type 1;;;10.0;;;;;
5113002000;HS10;51;Tissus de poils grossiers ou de crin - Type 2;Fabrics - Type 2;;;10.0;;;;;
5113009000;HS10;51;Tissus de poils grossiers ou de crin - Autre;Fabrics - Other;;;10.0;;;;;
