Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;DAPS_%;DD_%;PRCT_%;TCS_%;TVA_%;Formalites;Total_%
SECTION VIII;SECTION;Peaux, cuirs, pelleteries et ouvrages en ces matières;Raw hides, skins, leather and articles thereof;;;;;;;;
CHAPITRE 41;CHAPITRE;Peaux et cuirs;;;;;;;;;
4101;RANGEE 01;Raw hides and skins of bovine (including buffalo) or equine animals (fresh, salted, dried, limed, pickled, otherwise preserved but not tanned, parchment dressed or further prepared), whether or not dehaired or split;;;;;;;;;
410120;HS6;Peaux brutes de bovins entières ≤8kg;Whole bovine hides ≤8kg;;;;;;;;
4101201000;HS10;Peaux brutes de bovins entières ≤8kg - Type 1;Whole bovine hides ≤8kg - Type 1;Industrie;;10.0;;;15.0;910 Déclaration d'Importation du Produit;25.0
4101202000;HS10;Peaux brutes de bovins entières ≤8kg - Type 2;Whole bovine hides ≤8kg - Type 2;Industrie;;10.0;;;15.0;=;25.0
4101209000;HS10;Peaux brutes de bovins entières ≤8kg - Autre;Whole bovine hides ≤8kg - Other;Industrie;;10.0;;;15.0;=;25.0
410150;HS6;Peaux brutes de bovins entières >16kg;Whole bovine hides >16kg;;;;;;;;
4101501000;HS10;Peaux brutes de bovins entières >16kg - Type 1;Whole bovine hides >16kg - Type 1;Industrie;;10.0;;;15.0;=;25.0
4101502000;HS10;Peaux brutes de bovins entières >16kg - Type 2;Whole bovine hides >16kg - Type 2;Industrie;;10.0;;;15.0;=;25.0
4101509000;HS10;Peaux brutes de bovins entières >16kg - Autre;Whole bovine hides >16kg - Other;Industrie;;10.0;;;15.0;=;25.0
410190;HS6;Autres peaux brutes de bovins;Other raw bovine hides;;;;;;;;
4101901000;HS10;Autres peaux brutes de bovins - Type 1;Other raw bovine hides - Type 1;Industrie;;10.0;;;15.0;=;25.0
4101902000;HS10;Autres peaux brutes de bovins - Type 2;Other raw bovine hides - Type 2;Industrie;;10.0;;;15.0;=;25.0
4101909000;HS10;Autres peaux brutes de bovins - Autre;Other raw bovine hides - Other;Industrie;;10.0;;;15.0;=;25.0
4102;RANGEE 02;Raw skins of sheep or lambs (fresh, salted, dried, limed, pickled or otherwise preserved, but not further prepared), whether or not with wool on or split;;;;;;;;;
