Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;DAPS_%;DD_%;PRCT_%;TCS_%;TVA_%;Formalites;Total_%
SECTION XI;SECTION;Matières textiles et ouvrages en ces matières;Textiles and textile articles;;;;;;;;
CHAPITRE 61;CHAPITRE;Vêtements en bonneterie;;;;;;;;;
6101;RANGEE 01;"Coats; men's or boys' overcoats, car-coats, capes, cloaks, anoraks, ski-jackets, wind-cheaters, wind-jackets and similar articles; knitted or crocheted, other than those of heading no. 6103";;;;;;;;;
610110;HS6;Manteaux en bonneterie pour hommes;Men's knitted overcoats;;;;;;;;
6101101000;HS10;Manteaux en bonneterie pour hommes - Type 1;Men's knitted overcoats - Type 1;Habillement;;15.0;;;15.0;910 Déclaration d'Importation du Produit;30.0
6101102000;HS10;Manteaux en bonneterie pour hommes - Type 2;Men's knitted overcoats - Type 2;Habillement;;15.0;;;15.0;=;30.0
6101109000;HS10;Manteaux en bonneterie pour hommes - Autre;Men's knitted overcoats - Other;Habillement;;15.0;;;15.0;=;30.0
610120;HS6;Manteaux en bonneterie pour femmes;Women's knitted overcoats;;;;;;;;
6101201000;HS10;Manteaux en bonneterie pour femmes - Type 1;Women's knitted overcoats - Type 1;Habillement;;15.0;;;15.0;=;30.0
6101202000;HS10;Manteaux en bonneterie pour femmes - Type 2;Women's knitted overcoats - Type 2;Habillement;;15.0;;;15.0;=;30.0
6101209000;HS10;Manteaux en bonneterie pour femmes - Autre;Women's knitted overcoats - Other;Habillement;;15.0;;;15.0;=;30.0
610130;HS6;De fibres synthétiques ou artificielles;Coats;;;;;;;;
6101301000;HS10;De fibres synthétiques ou artificielles - Type 1;Coats - Type 1;Habillement;;15.0;;;15.0;=;30.0
6101302000;HS10;De fibres synthétiques ou artificielles - Type 2;Coats - Type 2;Habillement;;15.0;;;15.0;=;30.0
6101309000;HS10;De fibres synthétiques ou artificielles - Autre;Coats - Other;Habillement;;15.0;;;15.0;=;30.0
610190;HS6;D'autres matières textiles;Coats;;;;;;;;
6101901000;HS10;D'autres matières textiles - Type 1;Coats - Type 1;Habillement;;15.0;;;15.0;=;30.0
6101902000;HS10;D'autres matières textiles - Type 2;Coats - Type 2;Habillement;;15.0;;;15.0;=;30.0
6101909000;HS10;D'autres matières textiles - Autre;Coats - Other;Habillement;;15.0;;;15.0;=;30.0
6102;RANGEE 02;"Coats; women's or girls' overcoats, car-coats, capes, cloaks, anoraks, ski-jackets, wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading no. 6104";;;;;;;;;
610210;HS6;Manteaux en bonneterie pour femmes de laine;Women's wool knitted overcoats;;;;;;;;
6102101000;HS10;Manteaux en bonneterie pour femmes de laine - Type 1;Women's wool knitted overcoats - Type 1;Habillement;;15.0;;;15.0;=;30.0
6102102000;HS10;Manteaux en bonneterie pour femmes de laine - Type 2;Women's wool knitted overcoats - Type 2;Habillement;;15.0;;;15.0;=;30.0
6102109000;HS10;Manteaux en bonneterie pour femmes de laine - Autre;Women's wool knitted overcoats - Other;Habillement;;15.0;;;15.0;=;30.0
610220;HS6;De coton;Coats;;;;;;;;
6102201000;HS10;De coton - Type 1;Coats - Type 1;Habillement;;15.0;;;15.0;=;30.0
6102202000;HS10;De coton - Type 2;Coats - Type 2;Habillement;;15.0;;;15.0;=;30.0
6102209000;HS10;De coton - Autre;Coats - Other;Habillement;;15.0;;;15.0;=;30.0
610230;HS6;De fibres synthétiques ou artificielles;Coats;;;;;;;;
6102301000;HS10;De fibres synthétiques ou artificielles - Type 1;Coats - Type 1;Habillement;;15.0;;;15.0;=;30.0
6102302000;HS10;De fibres synthétiques ou artificielles - Type 2;Coats - Type 2;Habillement;;15.0;;;15.0;=;30.0
6102309000;HS10;De fibres synthétiques ou artificielles - Autre;Coats - Other;Habillement;;15.0;;;15.0;=;30.0
610290;HS6;D'autres matières textiles;Coats;;;;;;;;
6102901000;HS10;D'autres matières textiles - Type 1;Coats - Type 1;Habillement;;15.0;;;15.0;=;30.0
6102902000;HS10;D'autres matières textiles - Type 2;Coats - Type 2;Habillement;;15.0;;;15.0;=;30.0
6102909000;HS10;D'autres matières textiles - Autre;Coats - Other;Habillement;;15.0;;;15.0;=;30.0
6103;RANGEE 03;"Suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches, shorts (not swimwear); men's or boys', knitted or crocheted";;;;;;;;;
610310;HS6;Costumes et vestons en bonneterie pour hommes;Men's knitted suits and jackets;;;;;;;;
6103101000;HS10;Costumes et vestons en bonneterie pour hommes - Type 1;Men's knitted suits and jackets - Type 1;Habillement;;15.0;;;15.0;=;30.0
6103102000;HS10;Costumes et vestons en bonneterie pour hommes - Type 2;Men's knitted suits and jackets - Type 2;Habillement;;15.0;;;15.0;=;30.0
6103109000;HS10;Costumes et vestons en bonneterie pour hommes - Autre;Men's knitted suits and jackets - Other;Habillement;;15.0;;;15.0;=;30.0
610322;HS6;De coton;Ensembles;;;;;;;;
6103221000;HS10;De coton - Type 1;Ensembles - Type 1;Habillement;;15.0;;;15.0;=;30.0
6103222000;HS10;De coton - Type 2;Ensembles - Type 2;Habillement;;15.0;;;15.0;=;30.0
