"Chapitre;Description Chapitre (FR);Description Chapitre (EN);Code SH6;Description Produit (FR);Description Produit (EN);Statut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000001;;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000002;VEHICULES DU CHAP. 87 IMP/EXP EN FRANCHISE DEMENAGEMENT;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000003;BATEAUX DU CHAP. 89 IMP/EXP EN FRANCHISE DEMENAGEMENT;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000004;ARCHANDISES DIVERSES SOUMISES A AAI DEMENAGEMENT;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Description Chapitre (FR);Description Chapitre (EN);000006;Description Produit (FR);Description Produit (EN);Statut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000010;;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000020;;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000030;;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000040;;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000050;;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000060;MARCHANDISES DIVERSES EN FRANCHISE DECLAREES SOUS PERMIS D'ENLEVER;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00;Inconnu;Unknown;000070;MARCHANDISES NON TAXABLES ENVOYEES PAR FRET EXPRESS;;Ajouté","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010110;Chevaux reproducteurs de race pure;Pure-bred breeding horses;Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010121;Chevaux vivants (autres que reproducteurs);Live horses (non-breeding);Existant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010129;Autres;Horses;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010130;Ânes;Asses;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010190;Autres;Mules and hinnies;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010221;Reproducteurs de race pure;Cattle;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01;Animaux vivants;Live animals;010229;Autres;Cattle;live","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
